ID	名称	解锁等级	图标	大类	小类	是否商城道具	参数	是否可赠送	描述	buff类型	持续时间	buff描述	买入价格	卖出价格
19005	name.badge.19005	0	1	2	21	1	0	0	tip.badge.19005	0	0	0	0	0
19006	name.badge.19006	0	1	2	21	1	0	0	tip.badge.19006	0	0	0	0	0
19007	name.badge.19007	0	1	2	21	1	0	0	tip.badge.19007	0	0	0	0	0
19008	name.badge.19008	0	1	2	21	1	0	0	tip.badge.19008	0	0	0	0	0
19009	name.badge.19009	0	1	2	21	1	0	0	tip.badge.19009	0	0	0	0	0
19010	name.badge.19010	0	1	2	21	1	0	0	tip.badge.19010	0	0	0	0	0
19011	name.badge.19011	0	1	2	21	1	0	0	tip.badge.19011	0	0	0	0	0
19012	name.badge.19012	0	1	2	21	1	0	0	tip.badge.19012	0	0	0	0	0
19013	name.badge.19013	0	1	2	21	1	0	0	tip.badge.19013	0	0	0	0	0
19014	name.badge.19014	0	1	2	21	1	0	0	tip.badge.19014	0	0	0	0	0
19015	name.badge.19015	0	1	2	21	1	0	0	tip.badge.19015	0	0	0	0	0
19016	name.badge.19016	0	1	2	21	1	0	0	tip.badge.19016	0	0	0	0	0
19017	name.badge.19017	0	1	2	21	1	0	0	tip.badge.19017	0	0	0	0	0
19018	name.badge.19018	0	1	2	21	1	0	0	tip.badge.19018	0	0	0	0	0
19019	name.badge.19019	0	1	2	21	1	0	0	tip.badge.19019	0	0	0	0	0
19020	name.badge.19020	0	1	2	21	1	0	0	tip.badge.19020	0	0	0	0	0
19101	name.pieceofbadge.19101	0	1	2	22	1	0	0	tip.pieceofbadge.19101	0	0	0	0	0
19102	name.pieceofbadge.19102	0	1	2	22	1	0	0	tip.pieceofbadge.19102	0	0	0	0	0
19103	name.pieceofbadge.19103	0	1	2	22	1	0	0	tip.pieceofbadge.19103	0	0	0	0	0
19104	name.pieceofbadge.19104	0	1	2	22	1	0	0	tip.pieceofbadge.19104	0	0	0	0	0
19105	name.pieceofbadge.19105	0	1	2	22	1	0	0	tip.pieceofbadge.19105	0	0	0	0	0
19106	name.pieceofbadge.19106	0	1	2	22	1	0	0	tip.pieceofbadge.19106	0	0	0	0	0
19107	name.pieceofbadge.19107	0	1	2	22	1	0	0	tip.pieceofbadge.19107	0	0	0	0	0
19108	name.pieceofbadge.19108	0	1	2	22	1	0	0	tip.pieceofbadge.19108	0	0	0	0	0
19109	name.pieceofbadge.19109	0	1	2	22	1	0	0	tip.pieceofbadge.19109	0	0	0	0	0
19110	name.pieceofbadge.19110	0	1	2	22	1	0	0	tip.pieceofbadge.19110	0	0	0	0	0
19111	name.pieceofbadge.19111	0	1	2	22	1	0	0	tip.pieceofbadge.19111	0	0	0	0	0
19112	name.pieceofbadge.19112	0	1	2	22	1	0	0	tip.pieceofbadge.19112	0	0	0	0	0
19113	name.pieceofbadge.19113	0	1	2	22	1	0	0	tip.pieceofbadge.19113	0	0	0	0	0
19114	name.pieceofbadge.19114	0	1	2	22	1	0	0	tip.pieceofbadge.19114	0	0	0	0	0
19115	name.pieceofbadge.19115	0	1	2	22	1	0	0	tip.pieceofbadge.19115	0	0	0	0	0
19116	name.pieceofbadge.19116	0	1	2	22	1	0	0	tip.pieceofbadge.19116	0	0	0	0	0
19117	name.pieceofbadge.19117	0	1	2	22	1	0	0	tip.pieceofbadge.19117	0	0	0	0	0
19118	name.pieceofbadge.19118	0	1	2	22	1	0	0	tip.pieceofbadge.19118	0	0	0	0	0
19119	name.pieceofbadge.19119	0	1	2	22	1	0	0	tip.pieceofbadge.19119	0	0	0	0	0
19120	name.pieceofbadge.19120	0	1	2	22	1	0	0	tip.pieceofbadge.19120	0	0	0	0	0
19121	name.pieceofbadge.19121	0	1	2	22	1	0	0	tip.pieceofbadge.19121	0	0	0	0	0
19122	name.pieceofbadge.19122	0	1	2	22	1	0	0	tip.pieceofbadge.19122	0	0	0	0	0
19123	name.pieceofbadge.19123	0	1	2	22	1	0	0	tip.pieceofbadge.19123	0	0	0	0	0
19124	name.pieceofbadge.19124	0	1	2	22	1	0	0	tip.pieceofbadge.19124	0	0	0	0	0
19125	name.pieceofbadge.19125	0	1	2	22	1	0	0	tip.pieceofbadge.19125	0	0	0	0	0
19126	name.pieceofbadge.19126	0	1	2	22	1	0	0	tip.pieceofbadge.19126	0	0	0	0	0
19127	name.pieceofbadge.19127	0	1	2	22	1	0	0	tip.pieceofbadge.19127	0	0	0	0	0
19128	name.pieceofbadge.19128	0	1	2	22	1	0	0	tip.pieceofbadge.19128	0	0	0	0	0
19129	name.pieceofbadge.19129	0	1	2	22	1	0	0	tip.pieceofbadge.19129	0	0	0	0	0
19130	name.pieceofbadge.19130	0	1	2	22	1	0	0	tip.pieceofbadge.19130	0	0	0	0	0
19131	name.pieceofbadge.19131	0	1	2	22	1	0	0	tip.pieceofbadge.19131	0	0	0	0	0
19132	name.pieceofbadge.19132	0	1	2	22	1	0	0	tip.pieceofbadge.19132	0	0	0	0	0
19133	name.pieceofbadge.19133	0	1	2	22	1	0	0	tip.pieceofbadge.19133	0	0	0	0	0
19134	name.pieceofbadge.19134	0	1	2	22	1	0	0	tip.pieceofbadge.19134	0	0	0	0	0
19135	name.pieceofbadge.19135	0	1	2	22	1	0	0	tip.pieceofbadge.19135	0	0	0	0	0
19136	name.pieceofbadge.19136	0	1	2	22	1	0	0	tip.pieceofbadge.19136	0	0	0	0	0
19137	name.pieceofbadge.19137	0	1	2	22	1	0	0	tip.pieceofbadge.19137	0	0	0	0	0
19138	name.pieceofbadge.19138	0	1	2	22	1	0	0	tip.pieceofbadge.19138	0	0	0	0	0
19139	name.pieceofbadge.19139	0	1	2	22	1	0	0	tip.pieceofbadge.19139	0	0	0	0	0
19140	name.pieceofbadge.19140	0	1	2	22	1	0	0	tip.pieceofbadge.19140	0	0	0	0	0
19141	name.pieceofbadge.19141	0	1	2	22	1	0	0	tip.pieceofbadge.19141	0	0	0	0	0
19142	name.pieceofbadge.19142	0	1	2	22	1	0	0	tip.pieceofbadge.19142	0	0	0	0	0
19143	name.pieceofbadge.19143	0	1	2	22	1	0	0	tip.pieceofbadge.19143	0	0	0	0	0
19144	name.pieceofbadge.19144	0	1	2	22	1	0	0	tip.pieceofbadge.19144	0	0	0	0	0
19145	name.pieceofbadge.19145	0	1	2	22	1	0	0	tip.pieceofbadge.19145	0	0	0	0	0
19146	name.pieceofbadge.19146	0	1	2	22	1	0	0	tip.pieceofbadge.19146	0	0	0	0	0
19147	name.pieceofbadge.19147	0	1	2	22	1	0	0	tip.pieceofbadge.19147	0	0	0	0	0
19148	name.pieceofbadge.19148	0	1	2	22	1	0	0	tip.pieceofbadge.19148	0	0	0	0	0
19149	name.pieceofbadge.19149	0	1	2	22	1	0	0	tip.pieceofbadge.19149	0	0	0	0	0
19150	name.pieceofbadge.19150	0	1	2	22	1	0	0	tip.pieceofbadge.19150	0	0	0	0	0
19151	name.pieceofbadge.19151	0	1	2	22	1	0	0	tip.pieceofbadge.19151	0	0	0	0	0
19152	name.pieceofbadge.19152	0	1	2	22	1	0	0	tip.pieceofbadge.19152	0	0	0	0	0
19153	name.pieceofbadge.19153	0	1	2	22	1	0	0	tip.pieceofbadge.19153	0	0	0	0	0
19154	name.pieceofbadge.19154	0	1	2	22	1	0	0	tip.pieceofbadge.19154	0	0	0	0	0
19155	name.pieceofbadge.19155	0	1	2	22	1	0	0	tip.pieceofbadge.19155	0	0	0	0	0
19156	name.pieceofbadge.19156	0	1	2	22	1	0	0	tip.pieceofbadge.19156	0	0	0	0	0
19157	name.pieceofbadge.19157	0	1	2	22	1	0	0	tip.pieceofbadge.19157	0	0	0	0	0
19158	name.pieceofbadge.19158	0	1	2	22	1	0	0	tip.pieceofbadge.19158	0	0	0	0	0
19159	name.pieceofbadge.19159	0	1	2	22	1	0	0	tip.pieceofbadge.19159	0	0	0	0	0
19160	name.pieceofbadge.19160	0	1	2	22	1	0	0	tip.pieceofbadge.19160	0	0	0	0	0
19161	name.pieceofbadge.19161	0	1	2	22	1	0	0	tip.pieceofbadge.19161	0	0	0	0	0
19162	name.pieceofbadge.19162	0	1	2	22	1	0	0	tip.pieceofbadge.19162	0	0	0	0	0
19163	name.pieceofbadge.19163	0	1	2	22	1	0	0	tip.pieceofbadge.19163	0	0	0	0	0
19164	name.pieceofbadge.19164	0	1	2	22	1	0	0	tip.pieceofbadge.19164	0	0	0	0	0
19165	name.pieceofbadge.19165	0	1	2	22	1	0	0	tip.pieceofbadge.19165	0	0	0	0	0
19166	name.pieceofbadge.19166	0	1	2	22	1	0	0	tip.pieceofbadge.19166	0	0	0	0	0
19167	name.pieceofbadge.19167	0	1	2	22	1	0	0	tip.pieceofbadge.19167	0	0	0	0	0
19168	name.pieceofbadge.19168	0	1	2	22	1	0	0	tip.pieceofbadge.19168	0	0	0	0	0
19169	name.pieceofbadge.19169	0	1	2	22	1	0	0	tip.pieceofbadge.19169	0	0	0	0	0
19170	name.pieceofbadge.19170	0	1	2	22	1	0	0	tip.pieceofbadge.19170	0	0	0	0	0
19171	name.pieceofbadge.19171	0	1	2	22	1	0	0	tip.pieceofbadge.19171	0	0	0	0	0
19172	name.pieceofbadge.19172	0	1	2	22	1	0	0	tip.pieceofbadge.19172	0	0	0	0	0
19173	name.pieceofbadge.19173	0	1	2	22	1	0	0	tip.pieceofbadge.19173	0	0	0	0	0
19174	name.pieceofbadge.19174	0	1	2	22	1	0	0	tip.pieceofbadge.19174	0	0	0	0	0
19175	name.pieceofbadge.19175	0	1	2	22	1	0	0	tip.pieceofbadge.19175	0	0	0	0	0
19176	name.pieceofbadge.19176	0	1	2	22	1	0	0	tip.pieceofbadge.19176	0	0	0	0	0
19177	name.pieceofbadge.19177	0	1	2	22	1	0	0	tip.pieceofbadge.19177	0	0	0	0	0
19178	name.pieceofbadge.19178	0	1	2	22	1	0	0	tip.pieceofbadge.19178	0	0	0	0	0
19179	name.pieceofbadge.19179	0	1	2	22	1	0	0	tip.pieceofbadge.19179	0	0	0	0	0
19180	name.pieceofbadge.19180	0	1	2	22	1	0	0	tip.pieceofbadge.19180	0	0	0	0	0
20001	name.inventory.20001	10	28	2	23	1	0	1	tip.inventory.20001	0	0	0	20	0
20002	name.inventory.20002	10	28	2	23	1	0	1	tip.inventory.20002	0	0	0	20	0
20003	name.inventory.20003	40	28	2	23	1	0	1	tip.inventory.20003	0	0	0	35	0
20004	name.inventory.20004	40	28	2	23	1	0	1	tip.inventory.20004	0	0	0	35	0
20005	name.inventory.20005	50	28	2	23	1	0	1	tip.inventory.20005	0	0	0	20	0
20006	name.inventory.20006	50	28	2	23	1	0	1	tip.inventory.20006	0	0	0	20	0
20007	name.inventory.20007	100	29	2	23	1	0	1	tip.inventory.20007	0	0	0	799	0
20008	name.inventory.20008	100	29	2	23	1	0	1	tip.inventory.20008	0	0	0	799	0
20009	name.inventory.20009	100	29	2	23	1	0	1	tip.inventory.20009	0	0	0	0	0
20010	name.inventory.20010	100	29	2	23	1	0	1	tip.inventory.20010	0	0	0	0	0
20011	name.inventory.20011	350	35	2	23	1	0	1	tip.inventory.20011	0	0	0	1888	0
20012	name.inventory.20012	350	35	2	23	1	0	1	tip.inventory.20012	0	0	0	1888	0
20013	name.inventory.20013	350	35	2	23	1	0	1	tip.inventory.20013	0	0	0	0	0
20014	name.inventory.20014	350	35	2	23	1	0	1	tip.inventory.20014	0	0	0	0	0
20015	name.inventory.20015	0	21	2	23	1	0	1	tip.inventory.20015	0	0	0	30	0
20016	name.inventory.20016	0	21	2	23	1	0	1	tip.inventory.20016	0	0	0	30	0
20021	name.inventory.20021	20	39	2	23	0	0	0	tip.inventory.20021	0	0	0	0	0
20022	name.inventory.20022	20	40	2	23	0	0	0	tip.inventory.20022	0	0	0	0	0
20023	name.inventory.20023	20	38	2	23	0	0	0	tip.inventory.20023	0	0	0	0	0
20024	name.inventory.20024	20	39	2	23	0	0	0	tip.inventory.20024	0	0	0	0	0
20025	name.inventory.20025	20	40	2	23	0	0	0	tip.inventory.20025	0	0	0	0	0
20026	name.inventory.20026	20	38	2	23	0	0	0	tip.inventory.20026	0	0	0	0	0
20027	name.inventory.20027	20	39	2	23	0	0	0	tip.inventory.20027	0	0	0	0	0
20028	name.inventory.20028	20	40	2	23	0	0	0	tip.inventory.20028	0	0	0	0	0
20029	name.inventory.20029	20	38	2	23	0	0	0	tip.inventory.20029	0	0	0	0	0
20030	name.inventory.20030	20	39	2	23	0	0	0	tip.inventory.20030	0	0	0	0	0
20031	name.inventory.20031	20	40	2	23	0	0	0	tip.inventory.20031	0	0	0	0	0
20032	name.inventory.20032	20	38	2	23	0	0	0	tip.inventory.20032	0	0	0	0	0
20033	name.inventory.20033	20	39	2	23	0	0	0	tip.inventory.20033	0	0	0	0	0
20034	name.inventory.20034	20	40	2	23	0	0	0	tip.inventory.20034	0	0	0	0	0
20035	name.inventory.20035	20	38	2	23	0	0	0	tip.inventory.20035	0	0	0	0	0
20036	name.inventory.20036	20	39	2	23	0	0	0	tip.inventory.20036	0	0	0	0	0
20037	name.inventory.20037	20	40	2	23	0	0	0	tip.inventory.20037	0	0	0	0	0
20038	name.inventory.20038	20	38	2	23	0	0	0	tip.inventory.20038	0	0	0	0	0
20501	name.inventory.20501	0	1	2	24	0	20	0	tip.inventory.20501	0	0	0	0	20
20502	name.inventory.20502	0	2	2	24	0	40	0	tip.inventory.20502	0	0	0	0	50
20503	name.inventory.20503	0	3	2	24	1	100	1	tip.inventory.20503	0	0	0	5	100
20504	name.inventory.20504	0	7	2	25	0	30	0	tip.inventory.20504	0	0	0	0	20
20505	name.inventory.20505	0	8	2	25	0	50	0	tip.inventory.20505	0	0	0	0	50
20506	name.inventory.20506	0	9	2	25	1	100	1	tip.inventory.20506	0	0	0	10	100
20507	name.inventory.20507	0	10	2	26	0	40	0	tip.inventory.20507	0	0	0	0	20
20508	name.inventory.20508	0	11	2	26	0	60	0	tip.inventory.20508	0	0	0	0	50
20509	name.inventory.20509	0	12	2	26	1	100	1	tip.inventory.20509	0	0	0	15	100
20510	name.inventory.20510	0	16	2	27	0	20	0	tip.inventory.20510	0	0	0	0	20
20511	name.inventory.20511	0	17	2	27	0	50	0	tip.inventory.20511	0	0	0	0	50
20512	name.inventory.20512	0	18	2	27	1	100	1	tip.inventory.20512	0	0	0	10	100
50000	name.gold.50000	0	34	2	0	0	0	0	static.gold	0	0	0	0	0
50001	name.gem.50001	0	33	2	0	1	0	0	static.gem	0	0	0	0	0
