ID	怪物ID	道具1	掉率1	数量1	道具2	掉率2	数量2	道具3	掉率3	数量3	道具4	掉率4	数量4	CDTime
131	532	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
132	533	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
133	534	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
134	535	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
135	536	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
136	537	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
137	538	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
138	539	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
139	540	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
140	541	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
141	542	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
142	543	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
143	544	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
144	545	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
145	546	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
146	547	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
147	548	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
148	549	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
149	550	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
150	551	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
