等级	升级经验	雇佣价格	雇佣上限	每日上限	通缉价格	银行上限	奖励道具	道具数量	奖励武器	武器数量	宝石数量	经验争夺	世界BOSS	升级文字
179	25138300	6975	10	0	13950	50000	14501	1	0	0	1	3490	23460	upgrade.179
180	25516630	7000	10	0	14000	50000	20009	1	0	0	10	3540	23815	upgrade.180
181	25900660	7025	10	0	14050	50000	20501	1	0	0	1	3595	24170	upgrade.181
182	26290460	7050	10	0	14100	50000	14501	1	0	0	1	3650	24535	upgrade.182
183	26686140	7075	10	0	14150	50000	20501	1	0	0	1	3705	24905	upgrade.183
184	27087760	7100	10	0	14200	50000	14501	1	0	0	1	3760	25280	upgrade.184
185	27495430	7125	10	0	14250	50000	20010	1	0	0	5	3815	25660	upgrade.185
186	27909240	7150	10	0	14300	50000	20501	1	0	0	1	3875	26045	upgrade.186
187	28329270	7175	10	0	14350	50000	14501	1	0	0	1	3930	26440	upgrade.187
188	28755630	7200	10	0	14400	50000	20501	1	0	0	1	3990	26835	upgrade.188
189	29188400	7225	10	0	14450	50000	14501	1	0	0	1	4050	27240	upgrade.189
190	29627690	7250	10	0	14500	50000	20009	1	0	0	10	4110	27650	upgrade.190
191	30073580	7275	10	0	14550	50000	20501	1	0	0	1	4175	28065	upgrade.191
192	30526190	7300	10	0	14600	50000	14501	1	0	0	1	4235	28490	upgrade.192
193	30985610	7325	10	0	14650	50000	20501	1	0	0	1	4300	28915	upgrade.193
194	31451940	7350	10	0	14700	50000	14501	1	0	0	1	4365	29350	upgrade.194
195	31925300	7375	10	0	14750	50000	20010	1	0	0	5	4430	29795	upgrade.195
196	32405770	7400	10	0	14800	50000	20501	1	0	0	1	4500	30240	upgrade.196
197	32893480	7425	10	0	14850	50000	14501	1	0	0	1	4565	30700	upgrade.197
198	33388530	7450	10	0	14900	50000	20501	1	0	0	1	4635	31160	upgrade.198
199	33891020	7475	10	0	14950	50000	14501	1	0	0	1	4705	31630	upgrade.199
200	34401080	7500	10	0	15000	50000	20009	1	0	0	10	4775	32105	upgrade.200
201	40000000	7525	10	0	15050	50000	20501	1	0	0	1	6000	32530	upgrade.201
202	40080000	7550	10	0	15100	50000	14501	1	0	0	1	6010	32595	upgrade.202
203	40160000	7575	10	0	15150	50000	20501	1	0	0	1	6020	32660	upgrade.203
204	40240000	7600	10	0	15200	50000	14501	1	0	0	1	6035	32725	upgrade.204
205	40320000	7625	10	0	15250	50000	20013	1	0	0	5	6045	32790	upgrade.205
206	40400000	7650	10	0	15300	50000	20501	1	0	0	1	6060	32855	upgrade.206
207	40480000	7675	10	0	15350	50000	14501	1	0	0	1	6070	32920	upgrade.207
208	40560000	7700	10	0	15400	50000	20501	1	0	0	1	6080	32985	upgrade.208
209	40640000	7725	10	0	15450	50000	14501	1	0	0	1	6095	33050	upgrade.209
210	40720000	7750	10	0	15500	50000	20014	1	0	0	10	6105	33115	upgrade.210
211	40800000	7775	10	0	15550	50000	20501	1	0	0	1	6120	33180	upgrade.211
212	40880000	7800	10	0	15600	50000	14501	1	0	0	1	6130	33245	upgrade.212
213	40960000	7825	10	0	15650	50000	20501	1	0	0	1	6140	33310	upgrade.213
214	41040000	7850	10	0	15700	50000	14501	1	0	0	1	6155	33375	upgrade.214
215	41120000	7875	10	0	15750	50000	20013	1	0	0	5	6165	33440	upgrade.215
216	41200000	7900	10	0	15800	50000	20501	1	0	0	1	6180	33505	upgrade.216
217	41280000	7925	10	0	15850	50000	14501	1	0	0	1	6190	33570	upgrade.217
218	41360000	7950	10	0	15900	50000	20501	1	0	0	1	6200	33635	upgrade.218
219	41440000	7975	10	0	15950	50000	14501	1	0	0	1	6215	33700	upgrade.219
220	41520000	8000	10	0	16000	50000	20014	1	0	0	10	6225	33765	upgrade.220
221	41600000	8025	10	0	16050	50000	20501	1	0	0	1	6240	33830	upgrade.221
222	41680000	8050	10	0	16100	50000	14501	1	0	0	1	6250	33895	upgrade.222
223	41763330	8075	10	0	16150	50000	20501	1	0	0	1	6260	33965	upgrade.223
224	41846665	8100	10	0	16200	50000	14501	1	0	0	1	6275	34035	upgrade.224
225	41930000	8125	10	0	16250	50000	20013	1	0	0	5	6285	34100	upgrade.225
226	42013330	8150	10	0	16300	50000	20501	1	0	0	1	6300	34170	upgrade.226
227	42096665	8175	10	0	16350	50000	14501	1	0	0	1	6310	34235	upgrade.227
228	42180000	8200	10	0	16400	50000	20501	1	0	0	1	6325	34305	upgrade.228
229	42263330	8225	10	0	16450	50000	14501	1	0	0	1	6335	34370	upgrade.229
230	42346665	8250	10	0	16500	50000	20014	1	0	0	10	6350	34440	upgrade.230
231	42430000	8275	10	0	16550	50000	20501	1	0	0	1	6360	34505	upgrade.231
232	42513330	8300	10	0	16600	50000	14501	1	0	0	1	6375	34575	upgrade.232
233	42596665	8325	10	0	16650	50000	20501	1	0	0	1	6385	34640	upgrade.233
234	42680000	8350	10	0	16700	50000	14501	1	0	0	1	6400	34710	upgrade.234
235	42763330	8375	10	0	16750	50000	20013	1	0	0	5	6410	34780	upgrade.235
236	42846665	8400	10	0	16800	50000	20501	1	0	0	1	6425	34845	upgrade.236
237	42930000	8425	10	0	16850	50000	14501	1	0	0	1	6435	34915	upgrade.237
238	43013330	8450	10	0	16900	50000	20501	1	0	0	1	6450	34980	upgrade.238
239	43096665	8475	10	0	16950	50000	14501	1	0	0	1	6460	35050	upgrade.239
240	43180000	8500	10	0	17000	50000	20014	1	0	0	10	6475	35115	upgrade.240
241	43263330	8525	10	0	17050	50000	20501	1	0	0	1	6485	35185	upgrade.241
242	43346665	8550	10	0	17100	50000	14501	1	0	0	1	6500	35255	upgrade.242
243	43433330	8575	10	0	17150	50000	20501	1	0	0	1	6510	35325	upgrade.243
244	43520000	8600	10	0	17200	50000	14501	1	0	0	1	6525	35395	upgrade.244
245	43606665	8625	10	0	17250	50000	20013	1	0	0	5	6540	35465	upgrade.245
246	43693330	8650	10	0	17300	50000	20501	1	0	0	1	6550	35535	upgrade.246
247	43780000	8675	10	0	17350	50000	14501	1	0	0	1	6565	35605	upgrade.247
248	43866665	8700	10	0	17400	50000	20501	1	0	0	1	6575	35675	upgrade.248
249	43953330	8725	10	0	17450	50000	14501	1	0	0	1	6590	35745	upgrade.249
250	44040000	8750	10	0	17500	50000	20014	1	0	0	10	6605	35815	upgrade.250
251	44126665	8775	10	0	17550	50000	20501	1	0	0	1	6615	35885	upgrade.251
252	44213330	8800	10	0	17600	50000	14501	1	0	0	1	6630	35960	upgrade.252
253	44300000	8825	10	0	17650	50000	20501	1	0	0	1	6645	36030	upgrade.253
254	44386665	8850	10	0	17700	50000	14501	1	0	0	1	6655	36100	upgrade.254
255	44473330	8875	10	0	17750	50000	20013	1	0	0	5	6670	36170	upgrade.255
256	44560000	8900	10	0	17800	50000	20501	1	0	0	1	6680	36240	upgrade.256
257	44646665	8925	10	0	17850	50000	14501	1	0	0	1	6695	36310	upgrade.257
258	44733330	8950	10	0	17900	50000	20501	1	0	0	1	6705	36380	upgrade.258
259	44820000	8975	10	0	17950	50000	14501	1	0	0	1	6720	36450	upgrade.259
260	44906665	9000	10	0	18000	50000	20014	1	0	0	10	6735	36520	upgrade.260
261	44993330	9025	10	0	18050	50000	20501	1	0	0	1	6745	36590	upgrade.261
262	45080000	9050	10	0	18100	50000	14501	1	0	0	1	6760	36660	upgrade.262
263	45170000	9075	10	0	18150	50000	20501	1	0	0	1	6775	36735	upgrade.263
264	45260000	9100	10	0	18200	50000	14501	1	0	0	1	6785	36810	upgrade.264
265	45350000	9125	10	0	18250	50000	20013	1	0	0	5	6800	36880	upgrade.265
266	45440000	9150	10	0	18300	50000	20501	1	0	0	1	6815	36955	upgrade.266
267	45530000	9175	10	0	18350	50000	14501	1	0	0	1	6825	37030	upgrade.267
268	45620000	9200	10	0	18400	50000	20501	1	0	0	1	6840	37100	upgrade.268
269	45710000	9225	10	0	18450	50000	14501	1	0	0	1	6855	37175	upgrade.269
270	45800000	9250	10	0	18500	50000	20014	1	0	0	10	6870	37250	upgrade.270
271	45890000	9275	10	0	18550	50000	20501	1	0	0	1	6880	37320	upgrade.271
272	45980000	9300	10	0	18600	50000	14501	1	0	0	1	6895	37395	upgrade.272
273	46070000	9325	10	0	18650	50000	20501	1	0	0	1	6910	37465	upgrade.273
274	46160000	9350	10	0	18700	50000	14501	1	0	0	1	6920	37540	upgrade.274
275	46250000	9375	10	0	18750	50000	20013	1	0	0	5	6935	37615	upgrade.275
276	46340000	9400	10	0	18800	50000	20501	1	0	0	1	6950	37685	upgrade.276
277	46430000	9425	10	0	18850	50000	14501	1	0	0	1	6960	37760	upgrade.277
278	46520000	9450	10	0	18900	50000	20501	1	0	0	1	6975	37835	upgrade.278
279	46610000	9475	10	0	18950	50000	14501	1	0	0	1	6990	37905	upgrade.279
280	46700000	9500	10	0	19000	50000	20014	1	0	0	10	7005	37980	upgrade.280
281	46793330	9525	10	0	19050	50000	20501	1	0	0	1	7015	38055	upgrade.281
282	46886665	9550	10	0	19100	50000	14501	1	0	0	1	7030	38130	upgrade.282
283	46980000	9575	10	0	19150	50000	20501	1	0	0	1	7045	38210	upgrade.283
284	47073330	9600	10	0	19200	50000	14501	1	0	0	1	7060	38285	upgrade.284
285	47166665	9625	10	0	19250	50000	20013	1	0	0	5	7070	38360	upgrade.285
286	47260000	9650	10	0	19300	50000	20501	1	0	0	1	7085	38435	upgrade.286
287	47353330	9675	10	0	19350	50000	14501	1	0	0	1	7100	38510	upgrade.287
288	47446665	9700	10	0	19400	50000	20501	1	0	0	1	7115	38585	upgrade.288
289	47540000	9725	10	0	19450	50000	14501	1	0	0	1	7130	38665	upgrade.289
290	47633330	9750	10	0	19500	50000	20014	1	0	0	10	7140	38740	upgrade.290
291	47726665	9775	10	0	19550	50000	20501	1	0	0	1	7155	38815	upgrade.291
292	47820000	9800	10	0	19600	50000	14501	1	0	0	1	7170	38890	upgrade.292
293	47913330	9825	10	0	19650	50000	20501	1	0	0	1	7185	38965	upgrade.293
294	48006665	9850	10	0	19700	50000	14501	1	0	0	1	7200	39040	upgrade.294
295	48100000	9875	10	0	19750	50000	20013	1	0	0	5	7215	39120	upgrade.295
296	48193330	9900	10	0	19800	50000	20501	1	0	0	1	7225	39195	upgrade.296
297	48286665	9925	10	0	19850	50000	14501	1	0	0	1	7240	39270	upgrade.297
298	48380000	9950	10	0	19900	50000	20501	1	0	0	1	7255	39345	upgrade.298
299	48476665	9975	10	0	19950	50000	14501	1	0	0	1	7270	39360	upgrade.299
300	48573330	10000	10	0	20000	50000	20014	1	0	0	10	7285	39375	upgrade.300
301	48670000	10025	10	0	20050	50000	20501	1	0	0	1	7300	39385	upgrade.301
302	48766665	10050	10	0	20100	50000	14501	1	0	0	1	7310	39465	upgrade.302
303	48863330	10075	10	0	20150	50000	20501	1	0	0	1	7325	39545	upgrade.303
304	48960000	10100	10	0	20200	50000	14501	1	0	0	1	7340	39620	upgrade.304
305	49056665	10125	10	0	20250	50000	20013	1	0	0	5	7355	39700	upgrade.305
306	49153330	10150	10	0	20300	50000	20501	1	0	0	1	7370	39780	upgrade.306
307	49250000	10175	10	0	20350	50000	14501	1	0	0	1	7385	39855	upgrade.307
308	49346665	10200	10	0	20400	50000	20501	1	0	0	1	7400	39935	upgrade.308
309	49443330	10225	10	0	20450	50000	14501	1	0	0	1	7415	40015	upgrade.309
310	49540000	10250	10	0	20500	50000	20014	1	0	0	10	7430	40025	upgrade.310
311	49636665	10275	10	0	20550	50000	20501	1	0	0	1	7445	40105	upgrade.311
312	49733330	10300	10	0	20600	50000	14501	1	0	0	1	7455	40180	upgrade.312
313	49830000	10325	10	0	20650	50000	20501	1	0	0	1	7470	40260	upgrade.313
314	49926665	10350	10	0	20700	50000	14501	1	0	0	1	7485	40340	upgrade.314
315	50023330	10375	10	0	20750	50000	20013	1	0	0	5	7500	40415	upgrade.315
316	50123330	10400	10	0	20800	50000	20501	1	0	0	1	7515	40495	upgrade.316
317	50223330	10425	10	0	20850	50000	14501	1	0	0	1	7530	40580	upgrade.317
318	50323330	10450	10	0	20900	50000	20501	1	0	0	1	7545	40660	upgrade.318
319	50423330	10475	10	0	20950	50000	14501	1	0	0	1	7560	40740	upgrade.319
320	50523330	10500	10	0	21000	50000	20014	1	0	0	10	7575	40820	upgrade.320
321	50623330	10525	10	0	21050	50000	20501	1	0	0	1	7590	40900	upgrade.321
322	50723330	10550	10	0	21100	50000	14501	1	0	0	1	7605	40915	upgrade.322
323	50823330	10575	10	0	21150	50000	20501	1	0	0	1	7620	40995	upgrade.323
324	50923330	10600	10	0	21200	50000	14501	1	0	0	1	7635	41075	upgrade.324
325	51023330	10625	10	0	21250	50000	20013	1	0	0	5	7650	41155	upgrade.325
326	51123330	10650	10	0	21300	50000	20501	1	0	0	1	7665	41235	upgrade.326
327	51223330	10675	10	0	21350	50000	14501	1	0	0	1	7680	41320	upgrade.327
