怪物ID	怪物名称	Boss	等级	HP	AP	DP	反击概率	icon
338	name.worldboss.308	1	100	420000	1134000	0	50	2
339	name.worldboss.309	1	100	430000	1134000	0	50	8
340	name.worldboss.310	1	100	440000	1134000	0	50	7
341	name.worldboss.301	0	100	450000	1134000	0	50	0
342	name.worldboss.302	1	100	460000	1134000	0	50	4
343	name.worldboss.303	0	100	470000	1134000	0	50	1
344	name.worldboss.304	0	100	480000	1134000	0	50	2
345	name.worldboss.305	1	100	490000	1134000	0	50	1
346	name.worldboss.306	1	100	500000	1134000	0	50	5
347	name.worldboss.307	1	100	510000	1134000	0	50	6
348	name.worldboss.308	1	100	520000	1134000	0	50	2
349	name.worldboss.309	1	100	530000	1134000	0	50	8
350	name.worldboss.310	1	100	540000	1134000	0	50	7
351	name.worldboss.301	0	100	550000	1134000	0	50	0
352	name.worldboss.302	1	100	560000	1134000	0	50	4
353	name.worldboss.303	0	100	570000	1134000	0	50	1
354	name.worldboss.304	0	100	580000	1134000	0	50	2
355	name.worldboss.305	1	100	590000	1134000	0	50	1
356	name.worldboss.306	1	100	600000	1134000	0	50	5
357	name.worldboss.307	1	100	610000	1134000	0	50	6
358	name.worldboss.308	1	100	620000	1134000	0	50	2
359	name.worldboss.309	1	100	630000	1134000	0	50	8
360	name.worldboss.310	1	100	640000	1134000	0	50	7
361	name.worldboss.301	0	100	650000	1134000	0	50	0
362	name.worldboss.302	1	100	660000	1134000	0	50	4
363	name.worldboss.303	0	100	670000	1134000	0	50	1
364	name.worldboss.304	0	100	680000	1134000	0	50	2
365	name.worldboss.305	1	100	690000	1134000	0	50	1
366	name.worldboss.306	1	100	700000	1134000	0	50	5
367	name.worldboss.307	1	100	710000	1134000	0	50	6
368	name.worldboss.308	1	100	720000	1134000	0	50	2
369	name.worldboss.309	1	100	730000	1134000	0	50	8
370	name.worldboss.310	1	100	740000	1134000	0	50	7
371	name.worldboss.301	0	100	750000	1134000	0	50	0
372	name.worldboss.302	1	100	760000	1134000	0	50	4
373	name.worldboss.303	0	100	770000	1134000	0	50	1
374	name.worldboss.304	0	100	780000	1134000	0	50	2
375	name.worldboss.305	1	100	790000	1134000	0	50	1
376	name.worldboss.306	1	100	800000	1134000	0	50	5
377	name.worldboss.307	1	100	810000	1134000	0	50	6
378	name.worldboss.308	1	100	820000	1134000	0	50	2
379	name.worldboss.309	1	100	830000	1134000	0	50	8
380	name.worldboss.310	1	100	840000	1134000	0	50	7
381	name.worldboss.301	0	100	850000	1134000	0	50	0
382	name.worldboss.302	1	100	860000	1134000	0	50	4
383	name.worldboss.303	0	100	870000	1134000	0	50	1
384	name.worldboss.304	0	100	880000	1134000	0	50	2
385	name.worldboss.305	1	100	890000	1134000	0	50	1
386	name.worldboss.306	1	100	900000	1134000	0	50	5
387	name.worldboss.307	1	100	910000	1134000	0	50	6
388	name.worldboss.308	1	100	920000	1134000	0	50	2
389	name.worldboss.309	1	100	930000	1134000	0	50	8
390	name.worldboss.310	1	100	940000	1134000	0	50	7
391	name.worldboss.301	0	100	950000	1134000	0	50	0
392	name.worldboss.302	1	100	960000	1134000	0	50	4
393	name.worldboss.303	0	100	970000	1134000	0	50	1
394	name.worldboss.304	0	100	980000	1134000	0	50	2
395	name.worldboss.305	1	100	990000	1134000	0	50	1
396	name.worldboss.306	1	100	1000000	1134000	0	50	5
397	name.worldboss.307	1	100	1010000	1134000	0	50	6
398	name.worldboss.308	1	100	1020000	1134000	0	50	2
399	name.worldboss.309	1	100	1030000	1134000	0	50	8
401	name.slotsmonster.401	0	1	1	1	1	1	0
402	name.slotsmonster.402	0	1	1	1	1	1	1
403	name.slotsmonster.403	0	1	1	1	1	1	2
404	name.slotsmonster.404	0	1	1	1	1	1	3
501	name.worldboss.301	0	100	1050000	1134000	0	50	0
502	name.worldboss.302	1	100	1070000	1134000	0	50	4
503	name.worldboss.303	0	100	1090000	1134000	0	50	1
504	name.worldboss.304	0	100	1110000	1134000	0	50	2
505	name.worldboss.305	1	100	1130000	1134000	0	50	1
506	name.worldboss.306	1	100	1150000	1134000	0	50	5
507	name.worldboss.307	1	100	1170000	1134000	0	50	6
508	name.worldboss.308	1	100	1190000	1134000	0	50	2
509	name.worldboss.309	1	100	1210000	1134000	0	50	8
510	name.worldboss.310	1	100	1250000	1134000	0	50	7
511	name.worldboss.311	0	100	1300000	1134000	0	50	0
512	name.worldboss.312	1	100	1350000	1134000	0	50	4
513	name.worldboss.313	0	100	1400000	1134000	0	50	1
514	name.worldboss.314	0	100	1450000	1134000	0	50	2
515	name.worldboss.315	1	100	1500000	1134000	0	50	1
516	name.worldboss.316	1	100	1550000	1134000	0	50	5
517	name.worldboss.317	1	100	1600000	1134000	0	50	6
518	name.worldboss.318	1	100	1650000	1134000	0	50	2
519	name.worldboss.319	1	100	1700000	1134000	0	50	8
520	name.worldboss.320	1	100	1750000	1134000	0	50	7
521	name.worldboss.321	0	100	1800000	1134000	0	50	0
522	name.worldboss.322	1	100	1850000	1134000	0	50	4
523	name.worldboss.323	0	100	1900000	1134000	0	50	1
524	name.worldboss.324	0	100	1950000	1134000	0	50	2
525	name.worldboss.325	1	100	2000000	1134000	0	50	1
526	name.worldboss.326	1	100	2050000	1134000	0	50	5
527	name.worldboss.327	1	100	2100000	1134000	0	50	6
528	name.worldboss.328	1	100	2150000	1134000	0	50	2
529	name.worldboss.329	1	100	2200000	1134000	0	50	8
530	name.worldboss.330	1	100	2250000	1134000	0	50	7
531	name.worldboss.331	0	100	2300000	1134000	0	50	0
532	name.worldboss.332	1	100	2350000	1134000	0	50	4
533	name.worldboss.333	0	100	2400000	1134000	0	50	1
534	name.worldboss.334	0	100	2450000	1134000	0	50	2
535	name.worldboss.335	1	100	2500000	1134000	0	50	1
536	name.worldboss.336	1	100	2550000	1134000	0	50	5
537	name.worldboss.337	1	100	2600000	1134000	0	50	6
538	name.worldboss.338	1	100	2650000	1134000	0	50	2
539	name.worldboss.339	1	100	2700000	1134000	0	50	8
540	name.worldboss.340	1	100	2750000	1134000	0	50	7
541	name.worldboss.341	0	100	2800000	1134000	0	50	0
542	name.worldboss.342	1	100	2850000	1134000	0	50	4
543	name.worldboss.343	0	100	2900000	1134000	0	50	1
544	name.worldboss.344	0	100	3000000	1134000	0	50	2
545	name.worldboss.345	1	100	3100000	1134000	0	50	1
546	name.worldboss.346	1	100	3200000	1134000	0	50	5
547	name.worldboss.347	1	100	3300000	1134000	0	50	6
548	name.worldboss.348	1	100	3400000	1134000	0	50	2
549	name.worldboss.349	1	100	3500000	1134000	0	50	8
550	name.worldboss.350	1	100	4000000	1134000	0	50	7
551	name.worldboss.301	1	100	4500000	1134000	0	50	0
1000	name.guildboss.1000	1	100	5000000	1134000	0	50	8
