ID	名称	图标	大类	小类	商城	地图商店	攻	防	暴击	闪避	解锁等级	购买	出售	品质	赠送	维护费用	制作时间1	制作时间2	制作时间3	制作时间4	合成价格	合成概率	合成目标	打造价格	描述
17	name.weapon.17	26	1	17	0	5	980	0	0	0	42	90	9	1	0	0	420	660	1320	2640	270	50	1017	90	tip.weapon.17
18	name.weapon.18	51	1	17	0	5	1060	0	0	0	44	100	10	1	0	0	420	660	1320	2640	300	50	1018	100	tip.weapon.18
19	name.weapon.19	74	1	17	0	5	1140	0	0	0	46	110	11	1	0	0	420	660	1320	2640	330	50	1019	110	tip.weapon.19
20	name.weapon.20	87	1	17	0	5	1220	0	0	0	48	120	12	1	0	0	1050	1650	3300	6600	360	50	1020	120	tip.weapon.20
21	name.weapon.21	100	1	17	0	5	1300	0	0	0	50	130	13	1	0	0	1050	1650	3300	6600	390	50	1021	130	tip.weapon.21
22	name.weapon.22	3	1	17	0	6	1400	0	0	0	52	140	14	1	0	0	1050	1650	3300	6600	420	50	1022	140	tip.weapon.22
23	name.weapon.23	52	1	17	0	6	1500	0	0	0	54	150	15	1	0	0	1050	1650	3300	6600	450	50	1023	150	tip.weapon.23
24	name.weapon.24	27	1	17	0	6	1600	0	0	0	56	160	16	1	0	0	1050	1650	3300	6600	480	50	1024	160	tip.weapon.24
25	name.weapon.25	39	1	17	0	6	1700	0	0	0	58	170	17	1	0	0	1050	1650	3300	6600	510	50	1025	170	tip.weapon.25
26	name.weapon.26	63	1	17	0	6	1800	0	0	0	60	180	18	1	0	0	1050	1650	3300	6600	540	50	1026	180	tip.weapon.26
27	name.weapon.27	221	1	17	0	7	1900	0	0	0	62	190	19	1	0	0	1050	1650	3300	6600	570	50	1027	190	tip.weapon.27
28	name.weapon.28	53	1	17	0	7	2000	0	0	0	64	200	20	1	0	0	1050	1650	3300	6600	600	50	1028	200	tip.weapon.28
29	name.weapon.29	75	1	17	0	7	2100	0	0	0	66	210	21	1	0	0	1050	1650	3300	6600	630	50	1029	210	tip.weapon.29
30	name.weapon.30	94	1	17	0	7	2200	0	0	0	68	220	22	1	0	0	1680	2640	5280	10560	660	50	1030	220	tip.weapon.30
31	name.weapon.31	66	1	17	0	7	2300	0	0	0	70	230	23	1	0	0	1680	2640	5280	10560	690	50	1031	230	tip.weapon.31
32	name.weapon.32	88	1	17	0	8	2500	0	0	0	72	240	24	1	0	0	1680	2640	5280	10560	720	50	1032	240	tip.weapon.32
33	name.weapon.33	7	1	17	0	8	2700	0	0	0	74	250	25	1	0	0	1680	2640	5280	10560	750	50	1033	250	tip.weapon.33
34	name.weapon.34	65	1	17	0	8	2900	0	0	0	76	260	26	1	0	0	1680	2640	5280	10560	780	50	1034	260	tip.weapon.34
35	name.weapon.35	76	1	17	0	8	3100	0	0	0	78	270	27	1	0	0	1680	2640	5280	10560	810	50	1035	270	tip.weapon.35
36	name.weapon.36	104	1	17	0	8	3400	0	0	0	80	280	28	1	0	0	1680	2640	5280	10560	840	50	1036	280	tip.weapon.36
37	name.weapon.37	40	1	17	0	9	3800	0	0	0	82	290	29	1	0	0	1680	2640	5280	10560	870	50	1037	290	tip.weapon.37
38	name.weapon.38	225	1	17	0	9	4200	0	0	0	84	300	30	1	0	0	1680	2640	5280	10560	900	50	1038	300	tip.weapon.38
39	name.weapon.39	79	1	17	0	9	4600	0	0	0	86	310	31	1	0	0	1680	2640	5280	10560	930	50	1039	310	tip.weapon.39
40	name.weapon.40	1	1	17	0	9	5000	0	0	0	88	320	32	1	0	0	2100	3300	6600	13200	960	50	1040	320	tip.weapon.40
41	name.weapon.41	62	1	17	0	9	5400	0	0	0	90	330	33	1	0	0	2100	3300	6600	13200	990	50	1041	330	tip.weapon.41
42	name.weapon.42	77	1	17	0	10	6000	0	0	0	92	340	34	1	0	0	2100	3300	6600	13200	1020	50	1042	340	tip.weapon.42
43	name.weapon.43	106	1	17	0	10	6600	0	0	0	94	350	35	1	0	0	2100	3300	6600	13200	1050	50	1043	350	tip.weapon.43
44	name.weapon.44	29	1	17	0	10	7200	0	0	0	96	360	36	1	0	0	2100	3300	6600	13200	1080	50	1044	360	tip.weapon.44
45	name.weapon.45	42	1	17	0	10	7800	0	0	0	98	370	37	1	0	0	2100	3300	6600	13200	1110	50	1045	370	tip.weapon.45
46	name.weapon.46	17	1	17	0	11	8410	0	0	0	101	400	40	1	0	0	2100	3300	6600	13200	1200	50	1046	400	tip.weapon.46
47	name.weapon.47	28	1	17	0	11	8450	0	0	0	105	420	42	1	0	0	2100	3300	6600	13200	1260	50	1047	420	tip.weapon.47
48	name.weapon.48	41	1	17	0	12	8510	0	0	0	111	450	45	1	0	0	2100	3300	6600	13200	1350	50	1048	450	tip.weapon.48
49	name.weapon.49	18	1	17	0	12	8550	0	0	0	115	470	47	1	0	0	2100	3300	6600	13200	1410	50	1049	470	tip.weapon.49
50	name.weapon.50	30	1	17	0	13	8610	0	0	0	121	500	50	1	0	0	2100	3300	6600	13200	1500	50	1050	500	tip.weapon.50
51	name.weapon.51	43	1	17	0	13	8650	0	0	0	125	520	52	1	0	0	2100	3300	6600	13200	1560	50	1051	520	tip.weapon.51
52	name.weapon.52	54	1	17	0	14	8710	0	0	0	131	550	55	1	0	0	2100	3300	6600	13200	1650	50	1052	550	tip.weapon.52
53	name.weapon.53	60	1	17	0	14	8750	0	0	0	135	570	57	1	0	0	2100	3300	6600	13200	1710	50	1053	570	tip.weapon.53
54	name.weapon.54	55	1	17	0	15	8810	0	0	0	141	600	60	1	0	0	2100	3300	6600	13200	1800	50	1054	600	tip.weapon.54
55	name.weapon.55	44	1	17	0	15	8850	0	0	0	145	620	62	1	0	0	2100	3300	6600	13200	1860	50	1055	620	tip.weapon.55
56	name.weapon.56	56	1	17	0	16	8910	0	0	0	151	655	65	1	0	0	2100	3300	6600	13200	1960	50	1056	655	tip.weapon.56
57	name.weapon.57	68	1	17	0	16	8950	0	0	0	155	695	69	1	0	0	2100	3300	6600	13200	2080	50	1057	695	tip.weapon.57
58	name.weapon.58	83	1	17	0	17	9010	0	0	0	161	765	76	1	0	0	2100	3300	6600	13200	2290	50	1058	765	tip.weapon.58
59	name.weapon.59	71	1	17	0	17	9050	0	0	0	165	825	82	1	0	0	2100	3300	6600	13200	2470	50	1059	825	tip.weapon.59
60	name.weapon.60	96	1	17	0	18	9110	0	0	0	171	915	91	1	0	0	2100	3300	6600	13200	2740	50	1060	915	tip.weapon.60
61	name.weapon.61	81	1	17	0	18	9150	0	0	0	175	975	97	1	0	0	2100	3300	6600	13200	2920	50	1061	975	tip.weapon.61
62	name.weapon.62	95	1	17	0	19	9210	0	0	0	181	1065	106	1	0	0	2100	3300	6600	13200	3190	50	1062	1065	tip.weapon.62
63	name.weapon.63	70	1	17	0	19	9250	0	0	0	185	1125	112	1	0	0	2100	3300	6600	13200	3370	50	1063	1125	tip.weapon.63
64	name.weapon.64	78	1	17	0	20	9310	0	0	0	191	1215	121	1	0	0	2100	3300	6600	13200	3640	50	1064	1215	tip.weapon.64
65	name.weapon.65	67	1	17	0	20	9350	0	0	0	195	1275	127	1	0	0	2100	3300	6600	13200	3820	50	1065	1275	tip.weapon.65
66	name.weapon.66	8	1	17	0	21	9520	0	0	0	205	1520	152	1	0	0	2500	4100	8200	16400	4560	50	1066	1520	tip.weapon.66
67	name.weapon.67	117	1	17	0	22	9570	0	0	0	215	1570	157	1	0	0	2500	4100	8200	16400	4710	50	1067	1570	tip.weapon.67
68	name.weapon.68	19	1	17	0	23	9620	0	0	0	225	1620	162	1	0	0	2500	4100	8200	16400	4860	50	1068	1620	tip.weapon.68
69	name.weapon.69	93	1	17	0	24	9670	0	0	0	235	1670	167	1	0	0	2500	4100	8200	16400	5010	50	1069	1670	tip.weapon.69
70	name.weapon.70	113	1	17	0	25	9720	0	0	0	245	1720	172	1	0	0	2500	4100	8200	16400	5160	50	1070	1720	tip.weapon.70
71	name.weapon.71	11	1	17	0	26	9770	0	0	0	255	1770	177	1	0	0	2500	4100	8200	16400	5310	50	1071	1770	tip.weapon.71
72	name.weapon.72	35	1	17	0	27	9820	0	0	0	265	1820	182	1	0	0	2500	4100	8200	16400	5460	50	1072	1820	tip.weapon.72
73	name.weapon.73	59	1	17	0	28	9870	0	0	0	275	1870	187	1	0	0	2500	4100	8200	16400	5610	50	1073	1870	tip.weapon.73
74	name.weapon.74	58	1	17	0	29	9920	0	0	0	285	1920	192	1	0	0	2500	4100	8200	16400	5760	50	1074	1920	tip.weapon.74
75	name.weapon.75	217	1	17	0	30	9970	0	0	0	295	1970	197	1	0	0	2500	4100	8200	16400	5910	50	1075	1970	tip.weapon.75
76	name.weapon.76	22	1	17	0	31	10040	0	0	0	305	2020	202	1	0	0	2500	4100	8200	16400	6060	50	1076	2020	tip.weapon.76
77	name.weapon.77	34	1	17	0	32	10140	0	0	0	315	2070	207	1	0	0	2500	4100	8200	16400	6210	50	1077	2070	tip.weapon.77
78	name.weapon.78	84	1	17	0	33	10240	0	0	0	325	2120	212	1	0	0	2500	4100	8200	16400	6360	50	1078	2120	tip.weapon.78
79	name.weapon.79	9	1	17	0	34	10340	0	0	0	335	2170	217	1	0	0	2500	4100	8200	16400	6510	50	1079	2170	tip.weapon.79
80	name.weapon.80	208	1	17	0	35	10440	0	0	0	345	2220	222	1	0	0	2500	4100	8200	16400	6660	50	1080	2220	tip.weapon.80
81	name.weapon.81	223	1	17	0	36	10540	0	0	0	355	2270	227	1	0	0	2500	4100	8200	16400	6810	50	1081	2270	tip.weapon.81
82	name.weapon.82	33	1	17	0	37	10640	0	0	0	365	2320	232	1	0	0	2500	4100	8200	16400	6960	50	1082	2320	tip.weapon.82
83	name.weapon.83	169	1	17	0	38	10740	0	0	0	375	2370	237	1	0	0	2500	4100	8200	16400	7110	50	1083	2370	tip.weapon.83
84	name.weapon.84	46	1	17	0	39	10840	0	0	0	385	2420	242	1	0	0	2500	4100	8200	16400	7260	50	1084	2420	tip.weapon.84
85	name.weapon.85	36	1	17	0	40	10940	0	0	0	395	2470	247	1	0	0	2500	4100	8200	16400	7410	50	1085	2470	tip.weapon.85
86	name.weapon.86	73	1	17	0	41	11040	0	0	0	405	2520	252	1	0	0	2500	4100	8200	16400	7560	50	1086	2520	tip.weapon.86
87	name.weapon.87	69	1	17	0	42	11140	0	0	0	415	2570	257	1	0	0	2500	4100	8200	16400	7710	50	1087	2570	tip.weapon.87
88	name.weapon.88	23	1	17	0	43	11240	0	0	0	425	2620	262	1	0	0	2500	4100	8200	16400	7860	50	1088	2620	tip.weapon.88
89	name.weapon.89	209	1	17	0	44	11340	0	0	0	435	2670	267	1	0	0	2500	4100	8200	16400	8010	50	1089	2670	tip.weapon.89
90	name.weapon.90	211	1	17	0	45	11440	0	0	0	445	2720	272	1	0	0	2500	4100	8200	16400	8160	50	1090	2720	tip.weapon.90
91	name.weapon.91	1	1	17	0	46	11540	0	0	0	455	2770	277	1	0	0	2500	4100	8200	16400	8310	50	1091	2770	tip.weapon.91
92	name.weapon.92	7	1	17	0	47	11640	0	0	0	465	2820	282	1	0	0	2500	4100	8200	16400	8460	50	1092	2820	tip.weapon.92
93	name.weapon.93	87	1	17	0	48	11740	0	0	0	475	2870	287	1	0	0	2500	4100	8200	16400	8610	50	1093	2870	tip.weapon.93
94	name.weapon.94	64	1	17	0	49	11840	0	0	0	485	2920	292	1	0	0	2500	4100	8200	16400	8760	50	1094	2920	tip.weapon.94
95	name.weapon.95	205	1	17	0	50	11940	0	0	0	495	2970	297	1	0	0	2500	4100	8200	16400	8910	50	1095	2970	tip.weapon.95
1001	name.weapon.1001	49	1	17	0	0	150	0	0	0	3	3	1	2	0	0	0	0	0	0	45	30	2001	0	tip.weapon.1001
1002	name.weapon.1002	61	1	17	0	0	350	0	0	0	7	8	1	2	0	0	0	0	0	0	100	30	2002	0	tip.weapon.1002
1003	name.weapon.1003	85	1	17	0	0	600	0	0	0	11	13	1	2	0	0	0	0	0	0	150	30	2003	0	tip.weapon.1003
1004	name.weapon.1004	37	1	17	0	0	900	0	0	0	14	16	1	2	0	0	0	0	0	0	200	30	2004	0	tip.weapon.1004
1005	name.weapon.1005	2	1	17	0	0	1200	0	0	0	17	20	2	2	0	0	0	0	0	0	250	30	2005	0	tip.weapon.1005
1006	name.weapon.1006	50	1	17	0	0	1500	0	0	0	20	24	2	2	0	0	0	0	0	0	300	30	2006	0	tip.weapon.1006
1007	name.weapon.1007	91	1	17	0	0	1700	0	0	0	22	26	2	2	0	0	0	0	0	0	300	30	2007	0	tip.weapon.1007
1008	name.weapon.1008	6	1	17	0	0	1900	0	0	0	24	28	2	2	0	0	0	0	0	0	350	30	2008	0	tip.weapon.1008
1009	name.weapon.1009	38	1	17	0	0	2100	0	0	0	26	31	3	2	0	0	0	0	0	0	350	30	2009	0	tip.weapon.1009
1010	name.weapon.1010	220	1	17	0	0	2300	0	0	0	28	33	3	2	0	0	0	0	0	0	400	30	2010	0	tip.weapon.1010
1011	name.weapon.1011	114	1	17	0	0	2500	0	0	0	30	36	3	2	0	0	0	0	0	0	450	30	2011	0	tip.weapon.1011
1012	name.weapon.1012	25	1	17	0	0	2900	0	0	0	32	48	4	2	0	0	0	0	0	0	600	30	2012	0	tip.weapon.1012
1013	name.weapon.1013	64	1	17	0	0	3300	0	0	0	34	60	6	2	0	0	0	0	0	0	750	30	2013	0	tip.weapon.1013
1014	name.weapon.1014	86	1	17	0	0	3700	0	0	0	36	72	7	2	0	0	0	0	0	0	900	30	2014	0	tip.weapon.1014
1015	name.weapon.1015	5	1	17	0	0	4100	0	0	0	38	84	8	2	0	0	0	0	0	0	1050	30	2015	0	tip.weapon.1015
1016	name.weapon.1016	92	1	17	0	0	4500	0	0	0	40	96	9	2	0	0	0	0	0	0	1200	30	2016	0	tip.weapon.1016
1017	name.weapon.1017	26	1	17	0	0	4900	0	0	0	42	108	10	2	0	0	0	0	0	0	1350	30	2017	0	tip.weapon.1017
1018	name.weapon.1018	51	1	17	0	0	5300	0	0	0	44	120	12	2	0	0	0	0	0	0	1500	30	2018	0	tip.weapon.1018
1019	name.weapon.1019	74	1	17	0	0	5700	0	0	0	46	132	13	2	0	0	0	0	0	0	1650	30	2019	0	tip.weapon.1019
1020	name.weapon.1020	87	1	17	0	0	6100	0	0	0	48	144	14	2	0	0	0	0	0	0	1800	30	2020	0	tip.weapon.1020
1021	name.weapon.1021	100	1	17	0	0	6500	0	0	0	50	156	15	2	0	0	0	0	0	0	1950	30	2021	0	tip.weapon.1021
1022	name.weapon.1022	3	1	17	0	0	7000	0	0	0	52	168	16	2	0	0	0	0	0	0	2100	30	2022	0	tip.weapon.1022
1023	name.weapon.1023	52	1	17	0	0	7500	0	0	0	54	180	18	2	0	0	0	0	0	0	2250	30	2023	0	tip.weapon.1023
1024	name.weapon.1024	27	1	17	0	0	8000	0	0	0	56	192	19	2	0	0	0	0	0	0	2400	30	2024	0	tip.weapon.1024
1025	name.weapon.1025	39	1	17	0	0	8500	0	0	0	58	204	20	2	0	0	0	0	0	0	2550	30	2025	0	tip.weapon.1025
1026	name.weapon.1026	63	1	17	0	0	9000	0	0	0	60	216	21	2	0	0	0	0	0	0	2700	30	2026	0	tip.weapon.1026
1027	name.weapon.1027	221	1	17	0	0	9500	0	0	0	62	228	22	2	0	0	0	0	0	0	2850	30	2027	0	tip.weapon.1027
1028	name.weapon.1028	53	1	17	0	0	10000	0	0	0	64	240	24	2	0	0	0	0	0	0	3000	30	2028	0	tip.weapon.1028
1029	name.weapon.1029	75	1	17	0	0	10500	0	0	0	66	252	25	2	0	0	0	0	0	0	3150	30	2029	0	tip.weapon.1029
1030	name.weapon.1030	94	1	17	0	0	11000	0	0	0	68	264	26	2	0	0	0	0	0	0	3300	30	2030	0	tip.weapon.1030
1031	name.weapon.1031	66	1	17	0	0	11500	0	0	0	70	276	27	2	0	0	0	0	0	0	3450	30	2031	0	tip.weapon.1031
1032	name.weapon.1032	88	1	17	0	0	12500	0	0	0	72	288	28	2	0	0	0	0	0	0	3600	30	2032	0	tip.weapon.1032
1033	name.weapon.1033	7	1	17	0	0	13500	0	0	0	74	300	30	2	0	0	0	0	0	0	3750	30	2033	0	tip.weapon.1033
1034	name.weapon.1034	65	1	17	0	0	14500	0	0	0	76	312	31	2	0	0	0	0	0	0	3900	30	2034	0	tip.weapon.1034
1035	name.weapon.1035	76	1	17	0	0	15500	0	0	0	78	324	32	2	0	0	0	0	0	0	4050	30	2035	0	tip.weapon.1035
1036	name.weapon.1036	104	1	17	0	0	17000	0	0	0	80	336	33	2	0	0	0	0	0	0	4200	30	2036	0	tip.weapon.1036
1037	name.weapon.1037	40	1	17	0	0	19000	0	0	0	82	348	34	2	0	0	0	0	0	0	4350	30	2037	0	tip.weapon.1037
1038	name.weapon.1038	225	1	17	0	0	21000	0	0	0	84	360	36	2	0	0	0	0	0	0	4500	30	2038	0	tip.weapon.1038
1039	name.weapon.1039	79	1	17	0	0	23000	0	0	0	86	372	37	2	0	0	0	0	0	0	4650	30	2039	0	tip.weapon.1039
1040	name.weapon.1040	1	1	17	0	0	25000	0	0	0	88	384	38	2	0	0	0	0	0	0	4800	30	2040	0	tip.weapon.1040
1041	name.weapon.1041	62	1	17	0	0	27000	0	0	0	90	396	39	2	0	0	0	0	0	0	4950	30	2041	0	tip.weapon.1041
1042	name.weapon.1042	77	1	17	0	0	30000	0	0	0	92	408	40	2	0	0	0	0	0	0	5100	30	2042	0	tip.weapon.1042
1043	name.weapon.1043	106	1	17	0	0	33000	0	0	0	94	420	42	2	0	0	0	0	0	0	5250	30	2043	0	tip.weapon.1043
1044	name.weapon.1044	29	1	17	0	0	36000	0	0	0	96	432	43	2	0	0	0	0	0	0	5400	30	2044	0	tip.weapon.1044
1045	name.weapon.1045	42	1	17	0	0	39000	0	0	0	98	444	44	2	0	0	0	0	0	0	5550	30	2045	0	tip.weapon.1045
1046	name.weapon.1046	17	1	17	0	0	42050	0	0	0	101	480	48	2	0	0	0	0	0	0	6000	30	2046	0	tip.weapon.1046
1047	name.weapon.1047	28	1	17	0	0	42250	0	0	0	105	504	50	2	0	0	0	0	0	0	6300	30	2047	0	tip.weapon.1047
1048	name.weapon.1048	41	1	17	0	0	42550	0	0	0	111	540	54	2	0	0	0	0	0	0	6750	30	2048	0	tip.weapon.1048
1049	name.weapon.1049	18	1	17	0	0	42750	0	0	0	115	564	56	2	0	0	0	0	0	0	7050	30	2049	0	tip.weapon.1049
1050	name.weapon.1050	30	1	17	0	0	43050	0	0	0	121	600	60	2	0	0	0	0	0	0	7500	30	2050	0	tip.weapon.1050
1051	name.weapon.1051	43	1	17	0	0	43250	0	0	0	125	624	62	2	0	0	0	0	0	0	7800	30	2051	0	tip.weapon.1051
1052	name.weapon.1052	54	1	17	0	0	43550	0	0	0	131	660	66	2	0	0	0	0	0	0	8250	30	2052	0	tip.weapon.1052
1053	name.weapon.1053	60	1	17	0	0	43750	0	0	0	135	684	68	2	0	0	0	0	0	0	8550	30	2053	0	tip.weapon.1053
1054	name.weapon.1054	55	1	17	0	0	44050	0	0	0	141	720	72	2	0	0	0	0	0	0	9000	30	2054	0	tip.weapon.1054
1055	name.weapon.1055	44	1	17	0	0	44250	0	0	0	145	744	74	2	0	0	0	0	0	0	9300	30	2055	0	tip.weapon.1055
1056	name.weapon.1056	56	1	17	0	0	44550	0	0	0	151	786	78	2	0	0	0	0	0	0	9800	30	2056	0	tip.weapon.1056
1057	name.weapon.1057	68	1	17	0	0	44750	0	0	0	155	834	83	2	0	0	0	0	0	0	10400	30	2057	0	tip.weapon.1057
1058	name.weapon.1058	83	1	17	0	0	45050	0	0	0	161	918	91	2	0	0	0	0	0	0	11450	30	2058	0	tip.weapon.1058
1059	name.weapon.1059	71	1	17	0	0	45250	0	0	0	165	990	99	2	0	0	0	0	0	0	12350	30	2059	0	tip.weapon.1059
1060	name.weapon.1060	96	1	17	0	0	45550	0	0	0	171	1098	109	2	0	0	0	0	0	0	13700	30	2060	0	tip.weapon.1060
1061	name.weapon.1061	81	1	17	0	0	45750	0	0	0	175	1170	117	2	0	0	0	0	0	0	14600	30	2061	0	tip.weapon.1061
1062	name.weapon.1062	95	1	17	0	0	46050	0	0	0	181	1278	127	2	0	0	0	0	0	0	15950	30	2062	0	tip.weapon.1062
1063	name.weapon.1063	70	1	17	0	0	46250	0	0	0	185	1350	135	2	0	0	0	0	0	0	16850	30	2063	0	tip.weapon.1063
1064	name.weapon.1064	78	1	17	0	0	46550	0	0	0	191	1458	145	2	0	0	0	0	0	0	18200	30	2064	0	tip.weapon.1064
1065	name.weapon.1065	67	1	17	0	0	46750	0	0	0	195	1530	153	2	0	0	0	0	0	0	19100	30	2065	0	tip.weapon.1065
1066	name.weapon.1066	8	1	17	0	0	47600	0	0	0	205	1824	182	2	0	0	0	0	0	0	22800	30	2066	0	tip.weapon.1066
1067	name.weapon.1067	117	1	17	0	0	47850	0	0	0	215	1884	188	2	0	0	0	0	0	0	23550	30	2067	0	tip.weapon.1067
1068	name.weapon.1068	19	1	17	0	0	48100	0	0	0	225	1944	194	2	0	0	0	0	0	0	24300	30	2068	0	tip.weapon.1068
1069	name.weapon.1069	93	1	17	0	0	48350	0	0	0	235	2004	200	2	0	0	0	0	0	0	25050	30	2069	0	tip.weapon.1069
1070	name.weapon.1070	113	1	17	0	0	48600	0	0	0	245	2064	206	2	0	0	0	0	0	0	25800	30	2070	0	tip.weapon.1070
1071	name.weapon.1071	11	1	17	0	0	48850	0	0	0	255	2124	212	2	0	0	0	0	0	0	26550	30	2071	0	tip.weapon.1071
1072	name.weapon.1072	35	1	17	0	0	49100	0	0	0	265	2184	218	2	0	0	0	0	0	0	27300	30	2072	0	tip.weapon.1072
1073	name.weapon.1073	59	1	17	0	0	49350	0	0	0	275	2244	224	2	0	0	0	0	0	0	28050	30	2073	0	tip.weapon.1073
1074	name.weapon.1074	58	1	17	0	0	49600	0	0	0	285	2304	230	2	0	0	0	0	0	0	28800	30	2074	0	tip.weapon.1074
1075	name.weapon.1075	217	1	17	0	0	49850	0	0	0	295	2364	236	2	0	0	0	0	0	0	29550	30	2075	0	tip.weapon.1075
1076	name.weapon.1076	22	1	17	0	0	50200	0	0	0	305	2424	242	2	0	0	0	0	0	0	30300	30	2076	0	tip.weapon.1076
1077	name.weapon.1077	34	1	17	0	0	50700	0	0	0	315	2484	248	2	0	0	0	0	0	0	31050	30	2077	0	tip.weapon.1077
1078	name.weapon.1078	84	1	17	0	0	51200	0	0	0	325	2544	254	2	0	0	0	0	0	0	31800	30	2078	0	tip.weapon.1078
1079	name.weapon.1079	9	1	17	0	0	51700	0	0	0	335	2604	260	2	0	0	0	0	0	0	32550	30	2079	0	tip.weapon.1079
1080	name.weapon.1080	208	1	17	0	0	52200	0	0	0	345	2664	266	2	0	0	0	0	0	0	33300	30	2080	0	tip.weapon.1080
1081	name.weapon.1081	223	1	17	0	0	52700	0	0	0	355	2724	272	2	0	0	0	0	0	0	34050	30	2081	0	tip.weapon.1081
1082	name.weapon.1082	33	1	17	0	0	53200	0	0	0	365	2784	278	2	0	0	0	0	0	0	34800	30	2082	0	tip.weapon.1082
1083	name.weapon.1083	169	1	17	0	0	53700	0	0	0	375	2844	284	2	0	0	0	0	0	0	35550	30	2083	0	tip.weapon.1083
1084	name.weapon.1084	46	1	17	0	0	54200	0	0	0	385	2904	290	2	0	0	0	0	0	0	36300	30	2084	0	tip.weapon.1084
1085	name.weapon.1085	36	1	17	0	0	54700	0	0	0	395	2964	296	2	0	0	0	0	0	0	37050	30	2085	0	tip.weapon.1085
1086	name.weapon.1086	73	1	17	0	0	55200	0	0	0	405	3024	302	2	0	0	0	0	0	0	37800	30	2086	0	tip.weapon.1086
1087	name.weapon.1087	69	1	17	0	0	55700	0	0	0	415	3084	308	2	0	0	0	0	0	0	38550	30	2087	0	tip.weapon.1087
1088	name.weapon.1088	23	1	17	0	0	56200	0	0	0	425	3144	314	2	0	0	0	0	0	0	39300	30	2088	0	tip.weapon.1088
1089	name.weapon.1089	209	1	17	0	0	56700	0	0	0	435	3204	320	2	0	0	0	0	0	0	40050	30	2089	0	tip.weapon.1089
1090	name.weapon.1090	211	1	17	0	0	57200	0	0	0	445	3264	326	2	0	0	0	0	0	0	40800	30	2090	0	tip.weapon.1090
1091	name.weapon.1091	1	1	17	0	0	57700	0	0	0	455	3324	332	2	0	0	0	0	0	0	41550	30	2091	0	tip.weapon.1091
1092	name.weapon.1092	7	1	17	0	0	58200	0	0	0	465	3384	338	2	0	0	0	0	0	0	42300	30	2092	0	tip.weapon.1092
1093	name.weapon.1093	87	1	17	0	0	58700	0	0	0	475	3444	344	2	0	0	0	0	0	0	43050	30	2093	0	tip.weapon.1093
1094	name.weapon.1094	64	1	17	0	0	59200	0	0	0	485	3504	350	2	0	0	0	0	0	0	43800	30	2094	0	tip.weapon.1094
1095	name.weapon.1095	205	1	17	0	0	59700	0	0	0	495	3564	356	2	0	0	0	0	0	0	44550	30	2095	0	tip.weapon.1095
1504	name.weapon.1504	37	1	17	0	0	1080	0	0	0	10	12	1	2	0	0	0	0	0	0	0	0	0	0	tip.weapon.1504
1506	name.weapon.1506	50	1	17	0	0	1800	0	0	0	10	12	1	2	0	0	0	0	0	0	0	0	0	0	tip.weapon.1506
1508	name.weapon.1508	6	1	17	0	0	2280	0	0	0	10	12	1	2	0	0	0	0	0	0	0	0	0	0	tip.weapon.1508
