StringId	Values
static.crete.notInGuild.mineralWar	您不在公会中，不可以参加公会伐木场争夺战。
static.crete.worldBoss	泰坦入侵
static.epicWar.title	公会争霸战
static.epicWar.start	参战
static.epicWar.startAgain	复活参战
static.epicWar.encourage	鼓舞
static.epicWar.log	战报
static.epicWar.battleStartTime	本轮战争开始时间:
static.epicWar.battleEndTime	本轮战争结束时间:
static.epicWar.reviveCountDown	复活倒计时
static.epicWar.noOpponent	未找到对手
static.epicWar.defeated	已阵亡！
static.epicWar.credit.title	当前积分
static.epicWar.credit.guildName	公会名
static.epicWar.credit.guildLevel	公会等级
static.epicWar.credit.credit	积分
static.epicWar.credit.resource	获得石材
static.epicWar.helpInfo	[#240600]点击参战开始进入战斗，为公平起见，所有参战人员的血量都是满的，但不可以使用血瓶！胜利一场得3分，输一场得1分，主动发起攻击才有分，公会战结束计算积分，积分高的公会获胜！
static.woodWar.title	伐木场争夺战
static.woodWar.log	战报
static.woodWar.rank.title	排名
static.woodWar.rank.guildName	公会名
static.woodWar.rank.guildLevel	公会等级
static.woodWar.rank.woodAmount	已获得木材
static.woodWar.helpInfo	伐木场争夺战帮助文字
static.woodWar.gotWood	已获取木材
static.woodWar.notRob	未抢占
static.woodWar.closeTime	关闭时间
static.woodWar.openTime	开启时间
static.woodWar.tip	木材产出{0}每秒
static.status.helpInfo	[#240600]加入公会可获得公会加成，还可以和其他战友一起打BOSS，激情公会战；雇佣其他玩家可获得佣兵加成
static.countDown	倒计时
static.mineralWar	矿产争夺战
static.resourceWar	资源争夺战
static.joinTime	入会时间
static.lastLogin	上次登录时间
static.guildLevel	公会等级
static.change	公会改名
static.changeHeader	公会转让
static.changeHeaderRoleId	公会会长ID
static.upgrade	公会升级
static.vicePresident	副会长
static.mem	会员
static.president	会长
static.upgradeDemand	公会升级需求
static.guildNote	公告修改
static.disband	解散公会
static.demote	降低职务
static.promote	提升职务
static.fire	踢出公会
static.join	申请
static.guildRank	公会排名
static.depositGold	存款金额
static.deposit	存款
static.withdraw	取款
static.maximum	存款上限
static.info1	我们将从您的存款金额中扣除百分之十作为手续费
static.info2	取款不收手续费
static.clear	清除
static.max	最大值
static.back	返回
static.to	到
static.choose	选择种族
static.nickName	昵称
static.spartan	斯巴达
static.athenian	雅典
static.persian	波斯
static.guildTitle	公会
static.leave	退出公会
static.note	公会日志
static.announcement	公会公告
static.glv	公会等级
static.modify	公会修改
static.confirm	确认
static.members	成员数量
static.activeRate	活跃度
static.member	成员列表
static.applyList	申请列表
static.war	公会战
static.guildQuest	公会任务
static.rank	公会排名
static.compareTitle 	属性比较
static.attackBonus	攻击加成
static.defenceBonus	防御加成
static.critBonus	暴击加成
static.dodgeBonus	闪避加成
static.Friend	好友
static.friends	互相关注
static.myFollow	我的关注
static.fans	我的粉丝
static.ok	确认
static.profile	属性
static.myProfile	个人属性
static.value	个人身价
static.icon	更换头像
static.bank	银行
static.setPoint	属性加点
static.ignoreAttack	忽视攻击
static.ignoreDefence	忽视防御
static.myOwner	雇主
static.guildList	公会列表
static.guildName	公会名
static.post	公会职务
static.intergral	公会积分
static.contribution	公会贡献值
static.guildAttackBonus	公会攻击加成
static.guildDefenceBonus	公会防御加成
static.levelRequirement	等级大于30级
static.yes	同意
static.no	拒绝
static.applyInfo	申请加入公会
static.gem	宝石
static.name	角色名
static.profession	种族
static.gender	性别
static.HP	生命
static.EP	能量
static.SP	法力
static.mercenary	佣兵
static.points	属性点
static.AP	攻击力
static.DP	防御力
static.critical	暴击
static.dodge	闪避
static.bag	背包
static.honor.total	荣誉总值
static.honor.today	今日已获荣誉/今日荣誉上限
static.honor.got	荣誉
static.honor.max	已达上限
static.community	社区
static.skillAttackBonus	技能攻击加成
static.skillDefenceBonus	技能防御加成
static.mercenaries	我的佣兵
static.defenceBonusFromOther	佣兵防御加成
static.attackBonusFromOther	佣兵攻击加成
static.attackBonusToOther	被雇佣攻击增加
static.defenceBonusToOther	被雇佣防御增加
static.win	胜利
static.lose	失败
static.sell	出售
static.sellOne	出售一件
static.sellTen	出售十件
static.sellAll	出售全部
static.inventory	道具
static.store	商城
static.weapons	武器
static.fight	战斗
static.armor	防具
static.drug	药剂
static.force	力量
static.own	拥有
static.forge	打造
static.buy	购买
static.buyUse	宝石恢复
static.use	使用
static.equipment	装备
static.equip	装备
static.unlockLevel	解锁等级
static.equipLevel	装备等级
static.equiped	已装备
static.skill	技能
static.practice	学习
static.level	等级
static.ok	确定
static.unitPrice	单价
static.need	任务条件
static.bonus	任务奖励
static.start	开始
static.exp	经验
static.expBar	经验条
static.muchExp	多倍经验
static.help.hp	挑战和公会战会消耗HP
static.forQuest	用于【任务】
static.forFight	用于【挑战】
static.wantedList	通缉列表
static.topWanted	通缉榜
static.lv	LV
static.map	世界地图
static.wanted	通 缉
static.arena	城主争夺
static.topWinner	英雄榜
static.back	返回
static.gold	金币
static.win	胜利
static.time	时间
static.price	报名费
static.battle	战斗
static.challenges	挑战
static.topFighter	高手榜
static.hp	生命
static.money	宝石
static.news	消息
static.world	世界频道
static.chat	私聊频道
static.guild	公会频道
static.attack	攻 击
static.friend	关 注
static.gift	赠 送
static.hire	雇 佣
static.wanted	通 缉
static.myHire	我的雇佣
static.hireMore	查找佣兵
static.drop	解 雇
static.dailyQuest	每日任务
static.task	任务
static.requirement	任务条件
static.immediately	立刻完成
static.availablePoints	可用属性点
static.reset	复位
static.missionComplete	任务完成
static.levelUp  	等级提升
static.follow	关 注
static.unfollow	取消关注
static.immediately	立即完成
static.error	出错
static.somebodyMercenary	[#7fff58]{0}[#ffe980]的佣兵
static.searchResult	搜索结果
static.lackForce	力量不足不能装备再多
static.lackLevel	等级不足不能装备
static.maxSkillLevel	技能已到达满级
static.exit	退出
static.addDailyTaskInfo	[#90de16]增加[#fff100]{0}[#90de16]个每日任务，将花费[#fff100]{1}[#90de16]个宝石，您是否确认？
static.addDailyTaskTitle	增加每日任务
static.addMercenaryByGemInfo	[#90de16]增加[#fff100]{0}[#90de16]个雇佣名额，将花费[#fff100]{1}[#90de16]宝石，您是否确认？
static.addMercenaryByGoldInfo	[#90de16]增加[#fff100]{0}[#90de16]个雇佣名额，将花费[#fff100]{1}[#90de16]金币，您是否确认？
static.addMercenaryTitle	增加雇佣名额
static.addDepositInfo	[#90de16]增加[#fff100]5亿[#90de16]银行存款上限，将花费[#fff100]{0}[#90de16]个宝石，您是否确认？
static.topUp	充值
static.rechargeProInfo	您的宝石不足，请充值
static.rechargeProTitle	充值提示
static.dailyRewardsTitle	每日登录奖励
static.dailyRewardsInfo	连续登录｛0｝天，你将获得系统赠送的神秘大礼
static.prevPage	上一页
static.nextPage	下一页
static.dailyRewardsInfo	再登录{0}天，你将获得系统赠送的神秘大礼
static.rewardInfoForFive	你已经获得我们为你奉上的大礼 祝你游戏愉快
static.num1Day	第1天
static.num2Day	第2天
static.num3Day	第3天
static.num4Day	第4天
static.num5Day	第5天
static.addDespositInfo	您将花费100个宝石增加100000的存款上限
static.addDespositTitle	增加存款上限
static.myRanking	我的排名
static.topLevel	等级榜
static.topRich	身价榜
static.topApAndDp	攻防榜
static.player	玩家
static.ApDpLevel	攻防排名
static.hostStreak	守城成功
static.rankList	排行榜
static.gifeInfo	宝箱装备、商城道具才可赠送，赠送后的物品不能被再次赠送
static.login.id	账 号
static.login.password	密 码
static.login.logout91	注销91帐号
static.login.login	登 录
static.login.serverList	服务器列表
static.login.rememberMe	记住密码
static.login.91Platform	91平台
static.login.play	开始游戏
static.login.lastLogin	上次登录:{0}
static.login.defaultLogin	默认登录:{0}
static.login.newServerTip	新服提示：
static.login.lastLoginSvrList	上次登录
static.login.recommended	推荐
static.login.changeServer	更换服务器
static.login.serverList	服务器列表
static.login.quickLogin	快速登录
static.login.fbLogout	切换账号
static.login.otherLogin	其他登录
static.login.pleaseLogin	请登录
static.login.qqLogout	切换账号
tag.server.new	新服
tag.server.combine	合服
static.confirmPassword	确认密码
static.email	邮箱
static.uId	编号
static.hpRecoverTitle	快速恢复生命将消耗1个
static.spRecoverTitle	快速恢复法力将消耗1个
static.epRecoverTitle	快速恢复能量将消耗1个
static.recoverTip	宝石恢复提示
static.recoverInfo	快速恢复{0}将花费{1}宝石，您是否确认？
static.wantedByGemTip	宝石通缉提示
static.wantedByGemInfo	您将花费{0}宝石，通缉玩家{1}，是否确认？
static.recoverInfo1	[#90de16]快速恢复[#fff100]
static.recoverInfo2	[#90de16]将花费[#fff100]
static.recoverInfo3	[#90de16]宝石，您是否确认？
static.recharge	充值
static.buyBox	购买宝箱
static.open	开宝箱
static.boxPrice	宝箱价格
static.boxLevel	宝箱等级
static.levelIsLow	等级不足
static.powerIsLow	力量不足
static.equiped	已装备
static.searchTip	搜索提示
static.searchInfo	你输入的搜索范围不是合法范围，请确认...
static.sellTip	出售提示
static.sellTipInfo	该装备为极品装备，您是否要出售？
static.practiceTip	学习技能提示
static.practiceTipInfo	您的金币不足以学习该技能，请确认...
static.wantTip	通缉提示
static.wantTipInfo	您今天的通缉次数已达上限
static.wantByGemTitle	使用宝石通缉
static.wantByProp	[#043f03]强行通缉[#754a00]{0}[#043f03]需要道具：
static.withoutProp	您没有通缉令，无法继续通缉。
static.wantedTooMuch	您今天的通缉次数已达上限
static.beWantedTooMuch	对方今天被通缉次数已达上限
static.wantedByGem	宝石通缉
static.goldNotEnough	金币不足
static.merSuccess	雇佣成功
static.merSuccessInfo	雇佣玩家成功...
static.followSuccess	关注成功
static.followSuccessInfo	关注玩家成功...
static.merTip	雇佣失败
static.merTipInfo	您的佣兵已满，雇佣该玩家失败.
static.fireProm	解雇提示
static.fireTipInfo	你是否要解雇该玩家？
static.unfollowTip	取消关注提示
static.unfollowTipInfo	您是否要取消对该玩家的关注？
static.depositTip	输入有误
static.depositTipInfo	您输入的金额有误，请重新输入.
static.searchTip	搜索失败
static.searchTipInfo	搜索不成功，请重新输入关键字
static.needNameTip	角色名空白
static.needNameInfo	请在右上角输入你想要的角色名
static.epNotEnoughTip	能量不足
static.epNotEnoughInfo	您的能量不足以完成该任务
static.equipNotEnoughTip	装备不足
static.equipNotEnoughInfo	您的装备不足，请打造更多装备
static.friendNotEnoughTip	关注人数不足
static.friendNotEnough	您关注的人数不足，请关注更多人数
static.getOver	一次完成
static.doAgain	再来一次
static.91Coin	91豆
static.RMB	¥
static.ppCoin	PP币
static.gfanCoin	机锋券
static.ucCoin	UC点
static.continuing	继续努力
static.struckFailure	缉杀失败
static.struckSuccess	缉杀成功
static.gongLeifailure	挑战城主失败
static.gongLeiSuccess	挑战城主成功
static.battle.miss	对方闪避
static.gotBonus	获取奖励
static.levelUpTitle	您的等级达到：
static.getitemInfo	您获得的升级奖励有：
static.levelUpInfo	您解锁的装备和技能有：
static.missionComplete	任务完成
static.getItem	您获得了
static.unlockForge	解锁等级为{0}
static.payUnlock	付费解锁
static.forgePrice	打造费用
static.forgeThree	打造3件
static.forgeFive	打造5件
static.forgeTen	打造10件
static.forgeTwenty	打造20件
static.forgeFree	空闲中
static.forging	打造中...
static.forgeComplete	打造完成
static.equipUnlockLevel	装备等级为{0}
static.equipProducing	装备打造
static.equipCombining	装备合成
static.selectEquip	选择装备
static.selectEquipTip	5件相同品质的装备有几率可合成1件更高品质的装备！
static.selectGem	选择矿石
static.cancelSelectGem	取消选择
static.entryFee	报名费
static.noGold	金币不足，无法学习该等级技能
static.clear	清除
static.max	全部
static.expTip	多倍经验叠加
static.expTipInfo	多倍经验不能叠加，是否要覆盖？
static.speedUpDailyTask	[#90de16]加速每日任务，您需要花费[#fff100]{0}[#90de16]宝石，您是否确认？
static.CGText01	为了抵抗邪恶的泰坦，阿瑞斯正在斯巴达城中寻找最勇敢的佣兵，这大约是最好机会了，不过在这之前，先得通过战神-阿瑞斯的考验。
static.CGInfo01	第二章：入世
static.CGText02	奥林匹亚的反攻已经打响，作为诸神的一员，你要独自对付阿特拉斯，这是个艰巨的任务，你真正的考验来了！
static.CGInfo02	第三章：阿特拉斯
static.CGText03	要赢得与泰坦之战的胜利，必须找齐宙斯的兄弟们，而他们却在一场战斗中失去了联系。据说在米利都曾经有波塞冬的消息！
static.CGInfo03	第四章：胜利条件
static.CGText04	波塞冬为了取得海神神格，与俄刻阿诺斯展开了大战，一场新旧海神之争的战斗爆发！而你必须前往帮助波塞冬取得神格！
static.CGInfo04	第五章：神格传承
static.CGText05	进攻特洛伊的诸神被许珀里翁率领的泰坦狙击，惨遭失利！你作为不多的有生力量被派往特洛伊拯救诸神的部队！
static.CGInfo05	第六章：救援
static.CGText06	诸神的大军集结在圣城雅典外，对泰坦来说，守住雅典也许不是那么困难，你必须时刻小心他们的首领墨诺提俄斯
static.CGInfo06	第七章：收复圣城
static.CGText07	一项特殊的命令落在你身上，三头犬出卖了哈迪斯及诸神们，释放出了地狱的恶魔！你必须前去阻止它！
static.CGInfo07	第八章：地狱恶魔
static.CGText08	胜利的曙光就在眼前，诸神的队伍又来到了圣山奥林匹亚斯，攻下这里，泰坦们将无处可逃！
static.CGInfo08	第九章：胜利曙光
static.CGText09	大势已去的克洛诺斯不甘心失败，率领泰坦逃往利姆诺斯岛，你必须阻止他，否则后患无穷！
static.CGInfo09	第十章：大决战
name.gem.10001	宝石
name.gem.10002	宝石礼包
name.gem.10003	普通宝石礼包
name.gem.10004	极品宝石礼包
name.gem.10005	豪华宝石礼包
name.gem.10006	超级宝石礼包
name.gem.10007	至尊宝石礼包
static.create	创建
static.createGuild	创建公会
static.guildProp	公会属性
static.guildRequirement	需求
static.createGuildLevel	创建公会需要等级高于{0}
static.changeGuildName	修改公会名
static.changeGuildNameNeedGem	修改公会名需要{0}宝石
static.changeGuildHeader	转让公会
static.changeGuildHeaderInfo	您将把公会转让给编号等于{0}的玩家,请确认...
static.changeGuildHeaderSuccess	转让成功
static.guildConditionInsufficient	公会升级条件不足
static.lackOfWoods	木材不足
static.lackOfStone	石材不足
static.lackOfFood	食物不足
static.noPost	无
static.noGuild	未加入公会
static.disbandError	解散失败
static.disbandErrorInfo	您当前的公会人数大于一个，不能解散该公会
static.noGuildInfo	您未加入任何公会，不能使用公会聊天功能
static.changeNameEmptyTip	公会名不可以为空
static.changeNameTip	公会名未改变
static.changeNameInfo	您输入的公会名和原公会名一致，请重新输入.
static.maxGuildLevel	您当前的公会等级已到达最高等级，无需升级
static.changeHeaderEmptyTip	公会会长编号不可以为空
static.changeHeaderMustBeUID	输入编号格式不正确，请重新输入.
static.unlockForging	解锁工作台
static.unlock	解锁
static.accelerateForging	加速打造
static.forgingLeftTime	打造剩余时间
static.forgingAccelerateNeed	加速需要宝石
static.speedUp	加速
static.upDailyTask	加速每日任务
static.giveToOther	[#043f03]您将赠送以下物品给 [#754a00]{0}
static.beWantedInfo	[#363636]遭到通缉，你的赏金是[#c10000]{0}
static.beKillInfo	[#363636]你因通缉被杀，生命、能量、法力都变为了0
static.otherBeKillInfo	[#363636]你通缉的[#c10000]{0}[#363636]，被[#c10000]{1}[#363636]杀死了，他的生命、能量、法力都变为了0
static.myHireInfo	[#c10000]{0}[#363636]雇佣了你，获得了佣金[#c10000]{1}[#363636]，你的身价变为[#c10000]{2}
static.otherHireInfo	[#c10000]{0}[#363636]雇走了你的佣兵[#c10000]{1}[#363636]，你获得了交易费[#c10000]{2}
static.fireMerInfo	[#c10000]{0}[#363636]解雇了你，你的身价变为[#c10000]{1}
static.friendApplyMsg	[#363636]你有新粉丝，[#c10000]{0}[#363636]关注了你，你是否要关注对方？
static.friendApplyInfo	[#363636]你关注的[#c10000]{0}[#363636]，也关注了你，恭喜你们互相关注！
static.fightInfoWin	[#363636]你输了，损失[#c10000]{0}[#363636]金币，生命[#c10000]{1}
static.fightInfoLost	[#363636]你赢了，获得[#c10000]{0}[#363636]金币，生命[#c10000]{1}
static.arenaLost	[#363636]恭喜守城成功，你连胜[#c10000]{0}[#363636]场，赢得奖金[#c10000]{1}
message.expSnatch.attackedButWin	[#363636]宙斯神庙中遭到偷袭，你稳稳的守住了位置
message.expSnatch.attackedAndLost	[#363636]宙斯神庙中遭到偷袭，你被他攻下了位置
message.expSnatch.hpLow	[#363636]受到攻击，你因生命不足让出了宙斯神庙中的位置
message.setAsRecommender	[#c10000]{0}[#363636]把您设置为推荐人
message.recommenderAward	[#363636]您作为[#c10000]{0}[#363636]的推荐人，收到了他/她升到[#c10000]{1}级[#363636]时系统赠送的[#c10000]{2}[#363636]宝石！
static.arenaWin	[#363636]守城失败，[#c10000]{0}[#363636]成为新的城主，赢得全部奖金[#c10000]{1}
static.friendRemoveInfo	对你的关注取消了
static.giftInfo	[#363636]收到礼物，[#c10000]{0}[#363636]给你送来了[#c10000]{1}[#363636]个[#c10000]{2}
static.fireTip	踢出公会
static.fireInfo	你确定要把该玩家踢出公会
static.buyTip	购买公会任务
static.buyInfo	[#90de16]购买该公会任务需要花费[#fff100]{0}[#90de16]宝石，您是否确认？
static.buySuccess	你花费宝石成功购买了该公会任务
static.beyond	超出榜单
static.winning	连胜
static.awardPool	奖池
static.arenaInfo1	攻城成功，获得奖池内的所有奖金！
static.arenaInfo2	守城成功，城主会获得攻城方40%的报名费，50%被放置到奖池中！
static.arenaInfo3	守城满12小时赢得奖池内所有奖金
static.challengeSuccess	[#ffe8c2]挑战成功！[#00baff]
static.become	[#ffe8c2]成为[#72ff00]
static.levelInfo	[#ffe8c2]新城主，赢得全部奖金[#ffd800]
static.defendSuccess	[#ffe8c2]城主胜利！[#00baff]
static.defendOK	[#ffe8c2]已经成功守城
static.awardRise	[#ffe8c2]场，奖池奖金涨到[#ffd800]
static.questTask.title	主线任务
static.questTask.condition	任务条件
static.questTask.story	任务说明
static.questTask.condition.follow	关注
static.questTask.condition.energy	能量
static.questTask.bonus	奖励
static.questTask.randomEquip	随机掉落装备
static.questTask.noLoot	没有掉落
static.questTask.do	开始
static.questTask.oneTimeDo	一次完成
static.questTask.taskState.finish	[#385000]完成
static.questTask.taskState.doing	[#002f86]进行中
static.questTask.taskState.locked	[#8d0000]{0}级解锁
static.questTask.taskState.notReach	[#8d0000]未开启
static.questTaskTip	一次完成
static.questTaskInfo	如果能量不足以完成任务，系统会根据你剩余的能量完成相应的次数
static.expGift.canGetExp	可以领奖
static.expGift.canNotGetExp	下次领奖
static.expGift.title	获取经验
static.expGift.info	得到经验：
title.followSuccess 	关注成功
tip.followSuccess 	您已成功关注{0}
title.unfollowSuccess 	取消关注成功
tip.unfollowSuccess 	您已成功取消对{0}的关注
tip.arenaLevelIncorrect	等级不符
static.forgeCount 	×{0}
static.sys	设置
static.sysConfig 	系统设置
static.music 	音乐
static.animation 	动画
static.sound 	音效
static.help 	帮助
static.productionInfo	打造武器/防具可以提高攻击/防御，打造完成记得收取
static.productionTip	左右拖拽列表查看更多装备
static.productionList	左边你能打造的装备列表 点击右边工作台开始打造
static.combinText	装备合成可以提升装备的品质，选择合成石可以提高成功率！
static.initialEquip	选择装备
static.combinGem	选择矿石
static.successRate	成功率
static.combinMoney	合成费用
static.addSuccessRate	增加成功率
static.tipForCombin	点击收取装备
static.noExp	任务已完成，无法再获取经验
static.sub	打怪任务：
static.subInfo	提升攻击和防御，可以快速消灭怪物
static.noEnough	宝石不足，请充值
static.goldNoEnough	金币不足，无法购买
static.doubleHit	连击
static.miti	伤害减免
static.hurt	反伤
static.life	生命低于30%时攻击提升
static.upTake	伤害吸收
static.suckBlood	吸血
static.skillAp	攻击+{0}%
static.skillDp	防御+{0}%
static.skillCritical	暴击+{0}%
static.skillDodge	闪避+{0}%
static.skillIgnoreAttack	忽视攻击+{0}%
static.skillIgnoreDefence	忽视防御+{0}%
static.skillMiti	伤害减免+{0}%
static.skillMitiOdds	伤害减免几率+{0}%
static.skillCombo	连击伤害+{0}%
static.skillComboOdds	连击几率+{0}%
static.skillUptake	伤害吸收+{0}%
static.skillUptakeOdds	伤害吸收几率+{0}%
static.skillSuckBlood	吸血+{0}%
static.skillSuckBloodOdds	吸血几率+{0}%
static.skillLifeCondition	生命低于{0}%
static.skillAttackAdd	攻击提升{0}%
static.skillHurt	反伤+{0}%
static.skillHurtOdds	反伤几率+{0}%
static.leizhu	[城主]
static.expDouble	Exp ×
static.nameIsNullTip	名字为空
static.nameIsNullInfo	请在右上角输入你想要的角色名字
static.enter	发送
static.killSuccess	缉杀{0}成功
static.killFail	请再接再励
static.refresh	刷新
static.backCity	回城
static.systemInfo	系统公告
static.reconnectFailed	重连失败
static.reconnectFailedTip	请点击按钮退出程序重新登录
static.netError	服务器连接失败
static.netErrorTip	连接服务器失败，点击OK重试。
static.serverFixing	服务器正在维护中
static.serverFixingTip	服务器正在维护，维护时间不会很长，请您稍后点击OK重试。
static.serverListError	服务器列表获取失败
static.serverListErrorTip	服务器列表获取失败，请检查网络或者联系客服解决。点击按钮退出程序。
static.bagHelpInfo	[#f6000f]1力量[#240600]能装备[#f6000f]1件防具[#240600]和[#f6000f]1件武器[#240600]，努力提升属性中的[#f6000f]力量[#240600]，可以装备更多武器和防具
static.forgeHelpInfo	[#240600]武器可提升[#f6000f]攻击[#240600]，防具可以提升[#f6000f]防御[#240600]，不要让你的工作台空闲！不同城市的[#f6000f]铁匠铺[#240600]打造的内容不一样！
static.mercenaryHelpInfo	[#240600]佣兵加成属性越高，带来的[#f6000f]攻击[#240600]和[#f6000f]防御[#240600]也就越高，努力让其他玩家雇佣你，可以获得更多佣金！
static.friendHelpInfo	[#240600]输入对方的[#f6000f]编号[#240600]或[#f6000f]名字[#240600]，开始搜索！也可以直接点搜索按钮，由系统推荐玩家给你！
static.battleLose	尝试挑选一些比较弱的对手，或者多打造几件装备吧！
static.helpInfo1	生命、能量、法力都可以随着时间慢慢恢复！
static.helpInfo2	任务和挑战是升级最重要的方式！
static.helpInfo3	经常查看一下背包，每级都会增加新的物品！
static.challengeHelpInfo1	[#240600]界面中的[#f6000f]城[#240600]表示该玩家是城主，[#f6000f]缉[#240600]字表示正在被通缉。点击[#f6000f]自定义头像[#240600]进入[#f6000f]属性比较界面！
static.challengeHelpInfo2	[#240600]代表[#f6000f]攻击力
static.challengeHelpInfo3	[#240600]代表[#f6000f]防御力
static.merHelpInfo1	[#240600]代表[#f6000f]佣兵攻击加成
static.merHelpInfo2	[#240600]代表[#f6000f]佣兵防御加成
static.compHelpInfo	[#240600]左上可以放入5件同样的装备，左下放入提高合成概率的矿石，右侧是合成后的装备预览；放入装备后，即可点击[#f6000f]合成[#240600]按钮，等待奇迹出现。
static.dailyTaskHelpInfo	[#240600]每日任务会在每5级进行一次刷新。如果您不想等待太久，可以点击 [#f6000f]加速。
static.joyTouch	特奇网络
static.boxInfo	恭喜获得了
static.exceptGuild	公会(敬请期待)
static.faq	反馈
static.guildApply	[#c10000]{0}[#363636]申请加入公会，请去公会申请列表中操作！
static.guildApprove	[#c10000]{0}[#363636]同意了你的申请，恭喜你加入[#114fff]{1}[#363636]公会！
static.guildDemote	[#363636]会长[#c10000]{0}[#363636]将你的职位变为了普通会员！
static.guildPromote	[#363636]会长[#c10000]{0}[#363636]将你的职位提升为了副会长！
static.guildDeny	[#114fff]{0}[#363636]公会的[#c10000]{1}[#363636]拒绝了你的公会申请！
static.guildKick	[#c10000]{0}[#363636]将你踢出了[#114fff]{1}[#363636]公会！
static.guildTask	[#c10000]{0}[#363636]为大家谋福利，购买了公会任务，大家快去做公会任务吧
static.guildLeave	[#c10000]{0}[#363636]道不同不相为谋，离开了公会！
static.bossBoost	[#c10000]{0}[#363636]为公会做贡献，购买了祝福。全体公会成员打BOSS攻击提升了！
static.bossEnd	Boss消失时间
static.bossBegin	Boss出现时间
static.title.leaveGuild	确定离开公会
static.tip.leaveGuild	确定要离开公会吗？
static.title.kickedOutOfGuild	被踢出公会
static.tip.kickedOutOfGuild	您被踢出了公会！
static.title.dismissGuild	确定解散公会
static.tip.dismissGuild	确定要解散公会吗？
static.athenaeum	雅典娜神庙
static.venus	维纳斯神庙
static.snatchPlace	抢占
static.paramMultiply	×{0}
static.paramPlus	0
static.placeFree	空闲中
static.snatchEPHelpInfo	[#240600]雅典娜神庙中禁止PK，只能靠眼疾手快，占据雅典娜神庙的一个位置就可以获得雅典娜的祝福--能量恢复速度X3，只需要占领对应的位置就可以获得祝福
static.snatchHPHelpInfo	[#240600]维纳斯神庙中禁止PK，只能靠眼疾手快，占据维纳斯神庙的一个位置就可以获得维纳斯的祝福--血量恢复速度X3，只需要占领对应的位置就可以获得祝福
log.guildTask.buyTask	[#5e75ff]{0}[#c1ff56]购买了任务[#e61b00]{1}，[#c1ff56]大家快一起来做超值任务吧！
log.guildTask.doCount	[#5e75ff]{0}[#c1ff56]做了任务[#e61b00]{1}，[#c1ff56]为公会成长做出了贡献！
log.guildTask.doBoss	[#5e75ff]{0}[#c1ff56]挑战了Boss[#e61b00]{1}[#c1ff56]，造成了[#e61b00]{2}[#c1ff56]点伤害！
log.guildTask.completeTask	[#5e75ff]{0}[#c1ff56]完成了任务[#e61b00]{1}，[#c1ff56]新的任务也刷新了！
log.epicWar.system	系统
log.epicWar.selfAttackSelfWin	[#5e75ff]主动攻击，胜利，您战胜了[#c10000]{0}[#5e75ff]，伤血[#c10000]{1}[#5e75ff]，对方伤血[#c10000]{2}[#5e75ff]，获得荣誉[#c10000]{3}
log.epicWar.selfAttackSelfLose	[#5e75ff]主动攻击，失败，您输给了[#c10000]{0}[#5e75ff]，伤血[#c10000]{1}[#5e75ff]，对方伤血[#c10000]{2}[#5e75ff]，获得荣誉[#c10000]{3}
log.epicWar.otherAttackedSelfWin	[#c1ff56]遭到攻击，胜利，[#c10000]{0}[#c1ff56]输给了您，伤血[#c10000]{1}[#c1ff56]，对方伤血[#c10000]{2}
