任务ID	任务名字	解锁等级	任务目标类型	能量	好友数	武器1ID	武器1数目	武器2ID	武器2数目	武器3ID	武器3数目	目标怪物ID	任务描述	任务计数	经验奖励	道具概率	奖励道具	奖励金钱	道具数量
34	name.maintask.34	34	1	17	1	0	0	0	0	0	0	0	tip.maintask.34	58	1170	20	13	595	1
35	name.maintask.35	35	2	18	1	0	0	0	0	0	0	7	tip.maintask.35	60	70000	20	5014	610	1
36	name.maintask.36	36	1	18	1	0	0	0	0	0	0	0	tip.maintask.36	62	1280	20	14	625	1
37	name.maintask.37	37	1	19	1	0	0	0	0	0	0	0	tip.maintask.37	64	1340	20	5015	640	1
38	name.maintask.38	38	2	19	1	0	0	0	0	0	0	8	tip.maintask.38	66	95000	20	15	655	1
39	name.maintask.39	39	1	20	1	0	0	0	0	0	0	0	tip.maintask.39	68	1470	20	16	670	1
40	name.maintask.40	40	2	20	1	0	0	0	0	0	0	104	tip.maintask.40	70	115000	10	5016	690	1
41	name.maintask.41	41	1	21	1	0	0	0	0	0	0	0	tip.maintask.41	72	1610	20	5017	710	1
42	name.maintask.42	42	1	21	1	0	0	0	0	0	0	0	tip.maintask.42	74	1690	20	17	730	1
43	name.maintask.43	43	1	22	1	0	0	0	0	0	0	0	tip.maintask.43	76	1770	20	5018	750	1
44	name.maintask.44	44	1	22	1	0	0	0	0	0	0	0	tip.maintask.44	78	1850	20	18	770	1
45	name.maintask.45	45	2	23	1	0	0	0	0	0	0	9	tip.maintask.45	80	150000	20	5019	790	1
46	name.maintask.46	46	1	23	1	0	0	0	0	0	0	0	tip.maintask.46	82	2030	20	19	810	1
47	name.maintask.47	47	1	24	1	0	0	0	0	0	0	0	tip.maintask.47	84	2130	20	5020	830	1
48	name.maintask.48	48	2	24	1	0	0	0	0	0	0	10	tip.maintask.48	86	200000	20	20	850	1
49	name.maintask.49	49	1	25	1	0	0	0	0	0	0	0	tip.maintask.49	88	2340	20	5021	875	1
50	name.maintask.50	50	2	25	1	0	0	0	0	0	0	105	tip.maintask.50	90	220000	10	21	900	1
51	name.maintask.51	51	1	26	1	0	0	0	0	0	0	0	tip.maintask.51	92	2570	20	5022	915	1
52	name.maintask.52	52	1	26	1	0	0	0	0	0	0	0	tip.maintask.52	94	2690	20	22	930	1
53	name.maintask.53	53	1	27	1	0	0	0	0	0	0	0	tip.maintask.53	96	2820	20	5023	945	1
54	name.maintask.54	54	1	27	1	0	0	0	0	0	0	0	tip.maintask.54	98	2960	20	23	960	1
55	name.maintask.55	55	2	28	1	0	0	0	0	0	0	11	tip.maintask.55	100	305000	20	5024	975	1
56	name.maintask.56	56	1	28	1	0	0	0	0	0	0	0	tip.maintask.56	102	3250	20	24	990	1
57	name.maintask.57	57	1	29	1	0	0	0	0	0	0	0	tip.maintask.57	104	3410	20	5025	1005	1
58	name.maintask.58	58	2	29	1	0	0	0	0	0	0	12	tip.maintask.58	106	380000	20	25	1025	1
59	name.maintask.59	59	1	30	1	0	0	0	0	0	0	0	tip.maintask.59	108	3750	20	26	1045	1
60	name.maintask.60	60	2	30	1	0	0	0	0	0	0	106	tip.maintask.60	110	425000	10	5026	1065	1
61	name.maintask.61	61	1	31	2	0	0	0	0	0	0	0	tip.maintask.61	112	4120	20	5027	1085	1
62	name.maintask.62	62	1	31	2	0	0	0	0	0	0	0	tip.maintask.62	114	4320	20	27	1105	1
63	name.maintask.63	63	1	32	2	0	0	0	0	0	0	0	tip.maintask.63	116	4530	20	5028	1125	1
64	name.maintask.64	64	1	32	2	0	0	0	0	0	0	0	tip.maintask.64	118	4750	20	28	1145	1
65	name.maintask.65	65	2	33	2	0	0	0	0	0	0	13	tip.maintask.65	120	610000	20	5029	1165	1
66	name.maintask.66	66	1	33	3	0	0	0	0	0	0	0	tip.maintask.66	122	5220	20	29	1185	1
67	name.maintask.67	67	1	34	3	0	0	0	0	0	0	0	tip.maintask.67	124	5480	20	5030	1205	1
68	name.maintask.68	68	2	34	3	0	0	0	0	0	0	14	tip.maintask.68	126	750000	20	30	1225	1
69	name.maintask.69	69	1	35	3	0	0	0	0	0	0	0	tip.maintask.69	128	6030	20	5031	1245	1
70	name.maintask.70	70	2	35	3	0	0	0	0	0	0	107	tip.maintask.70	130	850000	10	31	1265	1
71	name.maintask.71	71	1	36	4	0	0	0	0	0	0	0	tip.maintask.71	132	6640	20	5032	1275	1
72	name.maintask.72	72	1	36	4	0	0	0	0	0	0	0	tip.maintask.72	134	6970	20	32	1285	1
73	name.maintask.73	73	1	37	4	0	0	0	0	0	0	0	tip.maintask.73	136	7310	20	5033	1295	1
74	name.maintask.74	74	1	37	4	0	0	0	0	0	0	0	tip.maintask.74	138	7670	20	33	1305	1
75	name.maintask.75	75	2	38	4	0	0	0	0	0	0	15	tip.maintask.75	140	1100000	20	5034	1315	1
76	name.maintask.76	76	1	38	5	0	0	0	0	0	0	0	tip.maintask.76	142	8450	20	34	1325	1
77	name.maintask.77	77	1	39	5	0	0	0	0	0	0	0	tip.maintask.77	144	8870	20	5035	1335	1
78	name.maintask.78	78	2	39	5	0	0	0	0	0	0	16	tip.maintask.78	146	1400000	20	35	1345	1
79	name.maintask.79	79	1	40	5	0	0	0	0	0	0	0	tip.maintask.79	148	9770	20	36	1355	1
80	name.maintask.80	80	2	40	5	0	0	0	0	0	0	108	tip.maintask.80	150	1550000	10	5036	1365	1
81	name.maintask.81	81	1	42	6	0	0	0	0	0	0	0	tip.maintask.81	152	10150	20	5037	1375	1
82	name.maintask.82	82	1	42	6	0	0	0	0	0	0	0	tip.maintask.82	154	10350	20	37	1385	1
83	name.maintask.83	83	1	42	6	0	0	0	0	0	0	0	tip.maintask.83	156	10550	20	5038	1395	1
84	name.maintask.84	84	1	42	6	0	0	0	0	0	0	0	tip.maintask.84	158	10760	20	38	1405	1
85	name.maintask.85	85	2	42	6	0	0	0	0	0	0	17	tip.maintask.85	160	1750000	20	5039	1415	1
86	name.maintask.86	86	1	43	7	0	0	0	0	0	0	0	tip.maintask.86	161	11180	20	39	1425	1
87	name.maintask.87	87	1	43	7	0	0	0	0	0	0	0	tip.maintask.87	162	11400	20	5040	1435	1
88	name.maintask.88	88	2	43	7	0	0	0	0	0	0	18	tip.maintask.88	163	1950000	20	40	1445	1
89	name.maintask.89	89	1	43	7	0	0	0	0	0	0	0	tip.maintask.89	164	11850	20	5041	1455	1
90	name.maintask.90	90	2	43	7	0	0	0	0	0	0	109	tip.maintask.90	165	2100000	10	41	1465	1
91	name.maintask.91	91	1	44	8	0	0	0	0	0	0	0	tip.maintask.91	166	12320	20	5042	1475	1
92	name.maintask.92	92	1	44	8	0	0	0	0	0	0	0	tip.maintask.92	167	12560	20	42	1485	1
93	name.maintask.93	93	1	44	8	0	0	0	0	0	0	0	tip.maintask.93	168	12810	20	5043	1495	1
94	name.maintask.94	94	1	44	8	0	0	0	0	0	0	0	tip.maintask.94	169	13060	20	43	1505	1
95	name.maintask.95	95	2	44	8	0	0	0	0	0	0	19	tip.maintask.95	170	2300000	20	5044	1520	1
96	name.maintask.96	96	1	45	9	0	0	0	0	0	0	0	tip.maintask.96	171	13580	20	5044	1535	1
97	name.maintask.97	97	1	45	9	0	0	0	0	0	0	0	tip.maintask.97	172	13850	20	44	1550	1
98	name.maintask.98	98	2	45	9	0	0	0	0	0	0	20	tip.maintask.98	173	2700000	20	44	1565	1
99	name.maintask.99	99	1	45	9	0	0	0	0	0	0	0	tip.maintask.99	174	14400	20	45	1580	1
100	name.maintask.100	100	2	45	9	0	0	0	0	0	0	110	tip.maintask.100	175	2800000	10	5045	1595	1
